	C1	C2	C3	RA1	RA2	RA3	high
MT-RNR2	169284.900750396	169284.900750396	169284.900750396	169284.900750396	169284.900750396	169284.900750396	17.3690937732227
RN7SK	24035.4788632064	24035.4788632064	24035.4788632064	16520.6720695088	24035.4788632064	24035.4788632064	14.5528779263867
MT-RNR1	16520.6720695088	16520.6720695088	16520.6720695088	24035.4788632064	16520.6720695088	13286.9519716936	14.0119847570832
RN7SL1	13286.9519716936	13286.9519716936	13286.9519716936	13286.9519716936	13286.9519716936	16520.6720695088	13.6977225677104
ODC1	9648.87314603923	9648.87314603923	9648.87314603923	6946.91442252145	5489.55382810352	5489.55382810352	13.2361447501985
RN7SL2	6946.91442252145	6946.91442252145	6946.91442252145	9648.87314603923	9648.87314603923	9648.87314603923	12.7621566098664
EEF1A1	5489.55382810352	5489.55382810352	5489.55382810352	4522.95256214328	5193.62934029335	6946.91442252145	12.422473181408
RMRP	4522.95256214328	5193.62934029335	5193.62934029335	3112.74394195962	6946.91442252145	4522.95256214328	12.2760346097078
RPPH1	5193.62934029335	4522.95256214328	4522.95256214328	3886.44196724573	4522.95256214328	5193.62934029335	12.2095418795362
MT-CO1	3886.44196724573	3886.44196724573	3886.44196724573	5193.62934029335	3886.44196724573	3886.44196724573	11.9242342585902
MT-CO3	2564.80975554577	3112.74394195962	3112.74394195962	1740.71366681824	3112.74394195962	3112.74394195962	11.5108594932643
MYCN	3112.74394195962	2564.80975554577	2564.80975554577	1091.78309856637	1091.78309856637	1126.80554520832	11.4177477979983
GAPDH	2350.48605161254	2350.48605161254	2350.48605161254	1964.73486190661	2350.48605161254	2564.80975554577	11.1987434038965
EEF2	2171.06599909441	2171.06599909441	2171.06599909441	1823.20273867763	1964.73486190661	2025.72801501209	11.0841878683392
HSP90AB1	1964.73486190661	2025.72801501209	2025.72801501209	1370.12969796237	1740.71366681824	1740.71366681824	10.9695228188428
TUBB	1877.53181535661	1964.73486190661	1964.73486190661	1611.89853254212	1877.53181535661	1877.53181535661	10.918286493639
HSPA8	2025.72801501209	1740.71366681824	1823.20273867763	1483.99935275737	1336.14001656453	1823.20273867763	10.8606490816726
ACTB	1823.20273867763	1823.20273867763	1877.53181535661	2564.80975554577	2171.06599909441	2350.48605161254	10.8463800674988
