	C1	C2	C3	RA1	RA2	RA3	low
ZNF718	9.69940313092407	10.4976274593316	9.98398225534199	8.82020942983947	8.91503322893809	8.92005438744003	3.3298342471419
CCDC53	9.83939304090374	11.1817214470276	9.22957362321791	9.1696271981844	11.2064321835353	12.4843763572123	3.32930124353097
BCORL1	12.1001049422395	9.68936750398997	8.64030624499335	33.754174657445	14.9993579317043	11.2014658824422	3.32814419865977
ADAT2	9.88921943194306	9.54467710550125	10.7071300196269	6.13276112665781	6.52296785021448	6.14309442381989	3.32701765514772
STX8	8.88015462856785	10.8269742102601	10.5074063638645	8.33065197418152	9.1696271981844	9.87917448607596	3.32682590020225
STARD10	10.408008732349	9.94916342527068	9.7443892403637	10.1487596944481	10.6867538504742	10.5770918352843	3.32625638576029
TNIP2	10.8768490743094	8.71012200150508	10.6467356458103	10.2384892881774	9.44971220897061	10.4277421524872	3.32607365226717
PRIMPOL	10.0091073628821	11.5760375724763	8.7002521378903	11.2863307583294	11.2064321835353	11.1314806883116	3.32578940924681
RN7SKP203	11.1668585855949	10.1986419046434	8.82020942983947	8.12081558930497	10.8666120134253	11.7758027751948	3.32408984704585
ZNF30	10.3580350420614	9.83939304090374	9.83939304090374	8.55068525103607	8.91503322893809	9.1696271981844	3.32327236194306
SRD5A3	9.35964899127407	11.6658673531343	9.1696271981844	6.76274055789119	8.75040450338484	7.89114615336119	3.3225130590086
SLC30A4	9.94916342527068	10.1487596944481	9.83939304090374	14.221399798452	13.8418690223686	14.540430844902	3.31879202093604
GLTP	10.3580350420614	10.1487596944481	9.44971220897061	9.41940645555394	9.96415953491467	11.8451157194656	3.31872678320497
ZNF385D	11.2913885032372	9.83939304090374	8.93010519014397	9.04973406698234	6.15304283090632	7.20181597419209	3.31813249763776
RP11-252A24.2	9.29951409498781	9.35964899127407	11.386497788396	10.4277421524872	11.7306569385159	9.32477695413257	3.31762064498187
YBEY	8.92005438744003	11.1167081502644	9.98398225534199	9.35964899127407	7.34183266503438	8.49572554483145	3.31710853862633
POU6F1	9.43461261685652	8.92005438744003	11.7503273228684	9.94916342527068	9.579514700299	10.3382080474776	3.31654827651325
ZNF235	10.2484151411497	8.77006862303643	10.9968073038683	10.8269742102601	11.036736058301	13.5119640645504	3.31630995711967
LIN52	9.6394589458572	9.1696271981844	11.1766583957382	6.5627141722296	8.50071278311878	9.6394589458572	3.31607742060264
LLPH	10.8168978942298	9.88921943194306	9.22957362321791	8.39059786636245	7.1818385734444	8.33065197418152	3.3157785219456
FBXL19-AS1	8.88015462856785	9.54467710550125	11.6359884149259	13.2823252532471	13.1720330500038	10.3580350420614	3.31526768353935
TRIM39	9.43461261685652	10.0888145938571	10.3580350420614	9.46464799027079	9.22957362321791	10.9469881340413	3.31510882945923
NDUFV2	8.39059786636245	10.3482309132199	11.3013019940967	7.64148243042465	11.336333399521	8.56065693517447	3.31283431532061
KIAA1324	8.92005438744003	9.83939304090374	11.1766583957382	9.86901592055533	8.98978735706884	8.92005438744003	3.31267961318798
MAFG-AS1	9.49956626519069	10.0888145938571	10.20847194756	7.39175522317153	5.92353061687084	6.29288148522642	3.31141381283836
FCHSD1	9.10968068005516	9.22957362321791	11.6359884149259	16.8675989868374	20.450220245801	16.7780302359287	3.31139544865422
PPP2R5A	11.2165875609827	9.35964899127407	9.2895199569559	8.33065197418152	8.50071278311878	9.52968149422383	3.30987346563041
GLT1D1	8.56065693517447	11.4561355285556	9.93911880839227	8.39059786636245	8.39059786636245	8.92005438744003	3.30962934047586
KTI12	10.7367606459471	9.68936750398997	9.36965769761163	6.95238226599453	7.46172323003084	6.81271610595167	3.30962857303658
FAM214A	10.408008732349	10.8269742102601	8.64030624499335	19.3766611218756	15.4330179560054	12.6538467142643	3.30908760926594
DNAJC1	8.60561279648943	11.5358409758947	9.78927340739976	10.2882840324539	11.336333399521	9.59455769633117	3.30817699589872
PABPC1L	10.2484151411497	8.71012200150508	10.8768490743094	21.7874745508308	15.0593190531438	11.7758027751948	3.30773687336648
PSEN2	8.92005438744003	10.4976274593316	10.3580350420614	6.23293481689262	7.40177799582858	6.75250166946462	3.30724078193089
TXNDC11	9.10968068005516	10.4277421524872	10.20847194756	16.1377917331066	17.2572955282677	14.2112741873211	3.30715014064029
YRDC	11.386497788396	9.83939304090374	8.64030624499335	6.64285434317799	8.06109862600265	8.73009965171753	3.30630131438812
DEDD2	11.386497788396	9.44971220897061	8.98978735706884	10.2384892881774	8.33065197418152	10.1487596944481	3.30593651853936
AMIGO1	10.20847194756	10.0091073628821	9.44971220897061	4.94905229225348	4.76416253581338	4.57439213502355	3.30506894407209
FKBP11	8.39059786636245	11.1817214470276	10.2882840324539	12.0551400787797	8.82020942983947	7.89114615336119	3.30492483019806
KIAA1919	10.3580350420614	8.33065197418152	11.1766583957382	10.9469881340413	9.74931190713187	9.44971220897061	3.30450828574566
C2CD2	10.6370435553311	9.38976824040163	9.63443968519671	9.86901592055533	6.52296785021448	6.55268703870655	3.30343854526679
CAMK2N2	10.7367606459471	9.1696271981844	9.7443892403637	8.97999985739114	6.01317152931093	6.68260449752578	3.30197390881324
