	C1	C2	C3	RA1	RA2	RA3	med
EXOSC6	43.1558110065899	38.2372903522961	40.2314535486534	36.8898375942193	35.8812027871565	34.2678249908538	5.33954775778831
SMG9	37.7670004511885	37.3290751031003	47.0397505384765	46.3311152903606	44.4830857778653	47.179588519493	5.33903022116752
CBR4	41.609815483913	39.1898073297031	40.6517305650558	38.1767305884868	45.5516438307723	47.9685461067103	5.33883447519289
DOCK5	40.6913935806522	40.6021289937188	40.1218584187534	33.9241685261122	31.736819477835	26.887010967951	5.3388172615863
NMRAL1	39.4851541171981	40.2314535486534	41.7195803030936	31.6375846930405	33.754174657445	31.4378963435377	5.33871437119714
DMWD	38.5855013082719	40.2314535486534	42.6821199836508	50.8830924152256	46.6703637970743	45.2367555694452	5.33859961085208
TFIP11	43.5355255850676	37.9015984047712	40.1218584187534	38.635109239591	36.710378649363	41.569886300615	5.33820818301762
MAPK7	41.4802214712096	35.2215354101795	45.2466376222319	42.3536417799743	32.7267621694789	35.020152592398	5.33749208994796
DHCR7	34.0337682376713	43.5559051688768	44.4032254887225	52.1840607980459	62.8953568947746	62.4251352062928	5.33542799593901
ZNF282	42.5676333970003	38.0667025294679	40.5917514507844	45.5516438307723	45.2518602972253	43.4452693880249	5.3350857877494
BEX2	37.6571472759725	46.410818509785	37.5871341147389	25.9688512543809	30.9738673519719	31.9365918139505	5.33446935256934
CES2	39.3647327038192	39.063937282932	42.5725949495719	38.635109239591	38.4666297781201	40.6517305650558	5.33281678788529
VPS28	39.0743726638523	37.9015984047712	44.1924395127132	47.2995622964128	50.4090666504936	52.9938615862237	5.33268842014392
TDRD3	41.2962496718171	41.2413096888584	38.4066545813553	35.3465975970091	41.1708540780413	39.5154071212048	5.33241383513659
PANK2	39.4851541171981	40.1317079008867	41.2767223393668	42.5175768121885	41.8396025169784	41.281910791395	5.33238852536968
GLE1	40.4816479644418	43.275773103133	37.3290751031003	32.458015682329	34.0138824207461	34.3423850934906	5.332303887684
ATP6AP2	37.5871341147389	42.8814954117695	40.5214177343569	37.1506710638015	41.1708540780413	43.8580817554123	5.33168769094447
ARMC1	43.952757648728	40.0321480006372	37.0961324780166	33.9241685261122	35.4916856934176	37.3989124818168	5.3313885938735
BICD1	39.3048301759854	42.4774372200304	39.063937282932	55.9611983509675	38.7053052611499	30.7989377664209	5.33100833163619
CNIH1	42.9853066359446	43.3847210319057	34.9501958754042	39.5800816569285	37.9065963089391	36.1409432928214	5.33070515869367
GLT8D1	37.7670004511885	38.1266804388511	45.2466376222319	34.6519421395481	40.4915565815113	39.6348673168591	5.33050733428138
NFKBIA	41.2465410350366	39.8789456251209	39.5049214066664	33.4548797523932	31.8020248563676	37.0911945558454	5.32923902702859
POMP	41.2465410350366	42.961054198628	36.6405359850862	32.458015682329	42.0586732788197	42.5422995704673	5.32884247551567
MRPL50	40.880832486046	39.6348673168591	40.051981721146	27.3260978114398	33.3260497332747	37.697832986357	5.32861754459434
GPR161	37.5871341147389	39.8187156387207	43.3450865440325	52.7389682125848	47.0104246328967	47.5036121985199	5.32844611826904
PPP2R2D	37.2100621981886	37.8466177482345	46.0610457519979	45.5516438307723	42.7420387167532	43.6152177265277	5.32839620956213
EFNA5	38.2471567689589	41.3512763768945	41.0121303858564	31.7125081833415	27.4059245205527	21.7377965969307	5.32837311231612
FAM63B	40.6517305650558	39.3750823135574	40.4266223043643	173.805300717259	186.630341940379	181.247456935092	5.32722988787865
NIF3L1	40.2716074756599	39.6348673168591	40.4711564117928	31.7125081833415	35.3717316578332	37.7463521543792	5.32640385468556
ARL16	37.3989124818168	44.0724729268204	39.1898073297031	34.2631285154668	42.5175768121885	40.2413838760129	5.32637897759842
ZDHHC16	38.197025179755	42.961054198628	39.3495913735136	42.3536417799743	46.380676213821	41.7592462895052	5.32620753942036
KAT8	37.5871341147389	40.4965558486187	42.3778543613774	39.3750823135574	42.4284674698671	39.1645728226106	5.32571098767601
RBM4B	41.0568228189768	40.4412630611931	38.8249293703807	37.7821093106247	42.7766337493435	46.9310774834993	5.32540587659631
JMJD8	39.7196493438616	40.4412630611931	40.1218584187534	40.6668010217291	39.9331801182864	41.7195803030936	5.32528455315387
BNIP3	42.7371125315999	34.3423850934906	43.9029267407443	65.2296023634751	51.5455837121876	70.9843552876698	5.32519369323843
CD164	38.7153079263003	41.4802214712096	40.1218584187534	37.1506710638015	40.9213150070973	41.0617530897512	5.32516681023496
RP11-247C2.2	39.184874380527	39.1046245440238	42.0238104285599	40.2616866981291	38.8640575778174	43.0749699582634	5.32487579003726
ARID5B	41.7096196112376	42.2037262680641	36.5805602598987	20.1259500655152	18.344936181951	18.9381899721647	5.3248706648295
JHDM1D	43.1558110065899	38.9987153928105	38.2471567689589	56.6618679099874	46.5104324072949	39.913430923235	5.32470607518994
ATL1	39.4851541171981	43.7386971968002	37.2299221208184	40.4915565815113	45.8212219662737	48.4391178555368	5.32415581775039
TTC39C	41.7096196112376	39.7887862792956	38.6657895496788	41.9194892569853	40.9714390385006	35.8812027871565	5.32319466808135
UNC80	35.3717316578332	37.8466177482345	47.9283086570714	46.8861240691584	49.5070518017506	43.1354661778222	5.32314117989707
CDKAL1	38.8692985010187	43.8633182295578	37.5871341147389	29.3553584203917	35.5609542819236	37.3989124818168	5.32255640985516
ANO5	40.0922166827562	38.9987153928105	40.9714390385006	24.3774626422556	26.6971316770314	26.2266635460075	5.32238387953401
SLC25A10	37.6571472759725	40.5515361925828	41.8891923671511	29.9208301076202	37.5175042986396	32.9611418654671	5.32168087815373
UQCC1	39.0743726638523	39.063937282932	41.8891923671511	32.0069470229952	35.5609542819236	39.8187156387207	5.32147414385069
TSG101	39.0743726638523	43.8033354129753	37.3290751031003	39.3147268995012	44.2732623864591	45.8305361704586	5.32111582921427
PHF5A	39.4202296101271	44.2127444152654	36.6405359850862	28.3397984904693	33.8141521607179	35.4416017215193	5.32087445377465
HBP1	38.2971433458176	42.0086656783297	39.6693155750594	39.2547190519937	50.2909219533688	46.410818509785	5.32057717875962
RNF123	39.4851541171981	37.0250000789917	43.6444494816394	50.7289556403543	45.4813431456399	40.5917514507844	5.32046417810506
PGM1	40.003020170005	40.3315216215926	39.5049214066664	53.7598244655007	50.8233286419825	64.7194761378698	5.31994447929701
CAPN7	39.3048301759854	38.9689532928271	41.5651989360551	37.5771282204531	41.460167384747	43.2157921120637	5.3193973995668
TMEM57	37.3290751031003	42.0889705142005	40.4711564117928	38.8990814721447	46.7849401323406	49.0606583339473	5.31880678107508
MGME1	40.4014987554628	38.9987153928105	40.3466095107687	33.5344036381475	33.8840356965039	39.913430923235	5.31868904782202
TMEM106C	35.4814879112829	41.4306245868514	43.2059255652035	30.4895868924205	32.8654803985031	38.1266804388511	5.31825918397468
OLFM3	34.6519421395481	44.7615216229061	40.9312386919796	40.7461631219698	56.7528846059812	55.7611017308787	5.3180606351965
ISCA1	40.4816479644418	42.961054198628	36.4809883539635	29.7349370172855	34.7807712789056	37.1455029926279	5.31774217256947
ZNF219	40.880832486046	36.9289956390657	41.9695452654798	39.5154071212048	31.8667396584958	42.143746669111	5.31710190592019
MIER1	42.0136245017557	39.5154071212048	38.1266804388511	40.9213150070973	42.8867354072533	43.3253444013277	5.31661924491774
DCAF5	37.0406306227886	41.1813314573144	41.4802214712096	51.3200511282923	49.627629477894	48.5697021820849	5.31643567264167
STK11	41.7096196112376	35.4609591038844	42.7667603937383	40.5969398906583	40.4116592826094	41.4306245868514	5.316295307682
CDK17	39.8841876828055	40.7805018962536	38.8845092417783	37.0911945558454	43.3951865314581	41.7195803030936	5.31622541383503
