"V1"	"V2"	"V3"	"V4"
"10"	"admin.project_code"	"1"	"NA ,tcga ,"
"13"	"patient.additional_studies.additional_study.disease_code"	"1"	"fppp ,NA ,"
"14"	"patient.additional_studies.additional_study.project_code"	"1"	"NA ,tcga ,"
"16"	"patient.anatomic_neoplasm_subdivisions.anatomic_neoplasm_subdivision"	"0.00299850074962519"	"left ,left lower inner quadrant ,left lower outer quadrant ,left upper inner quadrant ,left upper outer quadrant ,right ,right lower inner quadrant ,right lower outer quadrant ,right upper inner quadrant ,right upper outer quadrant ,"
"18"	"patient.anatomic_neoplasm_subdivisions.anatomic_neoplasm_subdivision.3"	"0.581209395302349"	"left ,left lower inner quadrant ,left lower outer quadrant ,left upper outer quadrant ,NA ,right ,right lower inner quadrant ,right lower outer quadrant ,right upper outer quadrant ,"
"19"	"patient.anatomic_neoplasm_subdivisions.anatomic_neoplasm_subdivision.4"	"1"	"left ,left lower inner quadrant ,left lower outer quadrant ,NA ,right lower inner quadrant ,right lower outer quadrant ,"
"20"	"patient.anatomic_neoplasm_subdivisions.anatomic_neoplasm_subdivision.5"	"1"	"left ,left lower outer quadrant ,NA ,right ,right lower outer quadrant ,"
"21"	"patient.axillary_lymph_node_stage_method_type"	"0.694152923538231"	"axillary lymph node dissection alone ,NA ,no axillary staging ,other (specify) ,sentinel lymph node biopsy plus axillary dissection ,sentinel node biopsy alone ,"
"24"	"patient.breast_cancer_surgery_margin_status"	"0.0954522738630685"	"close ,NA ,negative ,positive ,"
"25"	"patient.breast_carcinoma_estrogen_receptor_status"	"0.255872063968016"	"indeterminate ,NA ,negative ,positive ,"
"26"	"patient.breast_carcinoma_immunohistochemistry_er_pos_finding_scale"	"0.897051474262869"	"3 point scale ,4 point scale ,NA ,"
"27"	"patient.breast_carcinoma_immunohistochemistry_pos_cell_score"	"0.368315842078961"	"0 ,1+ ,2+ ,3+ ,4+ ,NA ,"
"28"	"patient.breast_carcinoma_immunohistochemistry_progesterone_receptor_pos_finding_scale"	"0.946026986506747"	"3 point scale ,4 point scale ,NA ,"
