"V1"	"V2"	"V3"	"V4"
"13"	"patient.additional_studies.additional_study.disease_code"	"1"	"fppp ,NA ,"
"14"	"patient.additional_studies.additional_study.project_code"	"1"	"NA ,tcga ,"
"16"	"patient.anatomic_neoplasm_subdivision"	"0.930534732633683"	"ascending colon ,cecum ,descending colon ,hepatic flexure ,NA ,rectosigmoid junction ,sigmoid colon ,splenic flexure ,transverse colon ,"
"18"	"patient.braf_gene_analysis_performed"	"0.625687156421789"	"NA ,no ,yes ,"
"19"	"patient.braf_gene_analysis_result"	"0.570214892553723"	"abnormal ,NA ,normal ,"
"21"	"patient.clinical_cqcf.consent_or_death_status"	"0.642497388363295"	"consented ,deceased ,"
"22"	"patient.clinical_cqcf.country"	"0.619690154922539"	"germany ,israel ,NA ,poland ,russia ,ukraine ,united states ,vietnam ,"
"26"	"patient.clinical_cqcf.frozen_specimen_anatomic_site"	"0.845577211394303"	"ascending colon ,cecum ,descending colon ,hepatic flexure ,NA ,rectosigmoid junction ,sigmoid colon ,splenic flexure ,transverse colon ,"
"27"	"patient.clinical_cqcf.histological_type"	"0.0784607696151924"	"colon adenocarcinoma ,colon mucinous adenocarcinoma ,NA ,"
"28"	"patient.clinical_cqcf.history_of_neoadjuvant_treatment"	"1"	"no ,yes, radiation prior to resection ,"
"29"	"patient.clinical_cqcf.history_of_prior_malignancy"	"0.451274362818591"	"no ,yes, history of prior malignancy ,yes, history of synchronous and or bilateral malignancy ,"
"30"	"patient.clinical_cqcf.normal_tissue_anatomic_site"	"0.320339830084958"	"ascending colon ,cecum ,descending colon ,hepatic flexure ,NA ,other ,sigmoid colon ,splenic flexure ,transverse colon ,"
"31"	"patient.clinical_cqcf.normal_tissue_proximity"	"0.46572856109079"	"distal (>2cm) ,NA ,"
"33"	"patient.clinical_cqcf.other_anatomic_site_normal_tissue"	"0.428335261459225"	"blood ,NA ,"
"36"	"patient.colon_polyps_present"	"0.941029485257371"	"NA ,no ,yes ,"
"47"	"patient.drugs.drug.10.day_of_form_completion"	"0.442278860569715"	"12 ,14 ,16 ,18 ,19 ,21 ,23 ,9 ,NA ,"
"48"	"patient.drugs.drug.10.days_to_drug_therapy_end"	"0.488755622188906"	"1181 ,178 ,1838 ,350 ,635 ,760 ,846 ,946 ,NA ,"
"50"	"patient.drugs.drug.10.drug_name"	"0.577211394302849"	"5 fu ,5-fluorouracil ,avastin ,cetuximab ,erbitux ,fluorouracil ,irinotecan ,leucovorin ,NA ,"
"51"	"patient.drugs.drug.10.measure_of_response"	"1"	"clinical progressive disease ,NA ,partial response ,"
"52"	"patient.drugs.drug.10.month_of_form_completion"	"1"	"1 ,10 ,11 ,2 ,4 ,7 ,NA ,"
"53"	"patient.drugs.drug.10.number_cycles"	"0.257871064467766"	"10 ,12 ,3 ,4 ,7 ,NA ,"
"54"	"patient.drugs.drug.10.prescribed_dose"	"1"	"300 ,4300-4325 ,4872-4992 ,560 ,800 ,900 ,NA ,"
"55"	"patient.drugs.drug.10.prescribed_dose_units"	"0.374792313982005"	"mg ,NA ,"
"56"	"patient.drugs.drug.10.regimen_indication"	"0.432783608195902"	"adjuvant ,NA ,progression ,recurrence ,"
"58"	"patient.drugs.drug.10.regimen_number"	"0.427786106946527"	"1 ,2 ,3 ,4 ,NA ,"
"59"	"patient.drugs.drug.10.route_of_administrations.route_of_administration"	"0.374792313982005"	"intravenous (iv) ,NA ,"
"60"	"patient.drugs.drug.10.therapy_ongoing"	"0.577711144427786"	"NA ,no ,yes ,"
"61"	"patient.drugs.drug.10.therapy_types.therapy_type"	"0.595702148925537"	"chemotherapy ,NA ,targeted molecular therapy ,"
"63"	"patient.drugs.drug.10.total_dose"	"0.3928035982009"	"1610 ,30200 ,59112 ,7900 ,900 ,9400 ,NA ,"
"64"	"patient.drugs.drug.10.total_dose_units"	"0.374792313982005"	"mg ,NA ,"
"65"	"patient.drugs.drug.10.tx_on_clinical_trial"	"1"	"NA ,no ,"
"66"	"patient.drugs.drug.10.year_of_form_completion"	"1"	"2010 ,2011 ,2012 ,2014 ,NA ,"
"67"	"patient.drugs.drug.11.bcr_drug_barcode"	"1"	"NA ,tcga-a6-2671-d12768 ,tcga-a6-2683-d4970 ,tcga-a6-5664-d33771 ,tcga-cm-4748-d33838 ,tcga-f4-6806-d55589 ,tcga-g4-6297-d22087 ,tcga-g4-6303-d21727 ,"
"68"	"patient.drugs.drug.11.bcr_drug_uuid"	"1"	"07b9a3d8-5a9a-42a5-9c94-c102d4cfe178 ,25c9f9e7-35f7-4297-95ce-b9dad4c1947f ,2887faa4-89f4-40e5-ab43-8cbc7095ac80 ,870532c3-7644-44f2-a51b-2b95044b6d5d ,bd739f62-0557-4954-8f18-02b97c1411c4 ,d26c7bb7-87f7-4960-9ed4-8ef58ac71e95 ,e3bedc74-6ed7-4959-8d5c-fb6ccfc417a5 ,NA ,"
"70"	"patient.drugs.drug.11.day_of_form_completion"	"1"	"16 ,18 ,19 ,23 ,7 ,9 ,NA ,"
"71"	"patient.drugs.drug.11.days_to_drug_therapy_end"	"1"	"1838 ,391 ,443 ,711 ,883 ,NA ,"
"72"	"patient.drugs.drug.11.days_to_drug_therapy_start"	"1"	"1377 ,1596 ,301 ,443 ,551 ,670 ,760 ,NA ,"
"73"	"patient.drugs.drug.11.drug_name"	"1"	"avastin ,bevacizumab ,irinotecan ,irinotecan hcl ,mitomycin c ,NA ,"
"74"	"patient.drugs.drug.11.measure_of_response"	"1"	"clinical progressive disease ,NA ,partial response ,"
"75"	"patient.drugs.drug.11.month_of_form_completion"	"1"	"1 ,10 ,6 ,7 ,NA ,"
"76"	"patient.drugs.drug.11.number_cycles"	"1"	"1 ,12 ,61 ,9 ,NA ,"
"77"	"patient.drugs.drug.11.prescribed_dose"	"1"	"16 ,300-320 ,712 ,NA ,"
"78"	"patient.drugs.drug.11.prescribed_dose_units"	"1"	"mg ,NA ,"
"79"	"patient.drugs.drug.11.regimen_indication"	"1"	"NA ,progression ,"
"81"	"patient.drugs.drug.11.regimen_number"	"1"	"2 ,3 ,4 ,NA ,"
"82"	"patient.drugs.drug.11.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"83"	"patient.drugs.drug.11.therapy_ongoing"	"1"	"NA ,no ,yes ,"
"84"	"patient.drugs.drug.11.therapy_types.therapy_type"	"1"	"chemotherapy ,NA ,targeted molecular therapy ,"
"86"	"patient.drugs.drug.11.total_dose"	"1"	"16 ,2890 ,30661 ,NA ,"
"87"	"patient.drugs.drug.11.total_dose_units"	"1"	"mg ,NA ,"
"88"	"patient.drugs.drug.11.tx_on_clinical_trial"	"1"	"NA ,no ,"
"89"	"patient.drugs.drug.11.year_of_form_completion"	"1"	"2010 ,2011 ,2012 ,2014 ,NA ,"
"90"	"patient.drugs.drug.12.bcr_drug_barcode"	"1"	"NA ,tcga-a6-2671-d12770 ,tcga-a6-5664-d33772 ,tcga-g4-6297-d22089 ,tcga-g4-6303-d21789 ,"
"91"	"patient.drugs.drug.12.bcr_drug_uuid"	"1"	"8249dbd2-17bc-46f8-bf68-4ff5e4d0ba0a ,9859896f-c740-4094-96ad-102b312c4b6b ,c92c9a04-8347-4909-960b-0f4878f27b08 ,d9c655dd-4834-48b8-92ce-1f9b3f354760 ,NA ,"
"93"	"patient.drugs.drug.12.day_of_form_completion"	"1"	"16 ,19 ,23 ,7 ,NA ,"
"94"	"patient.drugs.drug.12.days_to_drug_therapy_end"	"1"	"1636 ,1994 ,635 ,754 ,NA ,"
"95"	"patient.drugs.drug.12.days_to_drug_therapy_start"	"1"	"1377 ,1840 ,301 ,551 ,NA ,"
"96"	"patient.drugs.drug.12.drug_name"	"1"	"5 fu ,leucovorin ,NA ,oxaliplatin ,xeloda ,"
"97"	"patient.drugs.drug.12.measure_of_response"	"1"	"clinical progressive disease ,NA ,"
"98"	"patient.drugs.drug.12.month_of_form_completion"	"1"	"1 ,6 ,7 ,NA ,"
"99"	"patient.drugs.drug.12.number_cycles"	"1"	"10 ,13 ,NA ,"
"100"	"patient.drugs.drug.12.prescribed_dose"	"1"	"145 ,3600 ,725 ,NA ,"
"101"	"patient.drugs.drug.12.prescribed_dose_units"	"1"	"mg ,mg/day ,NA ,"
"102"	"patient.drugs.drug.12.regimen_indication"	"1"	"NA ,progression ,"
"104"	"patient.drugs.drug.12.regimen_number"	"1"	"2 ,4 ,5 ,NA ,"
"105"	"patient.drugs.drug.12.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,oral ,"
"106"	"patient.drugs.drug.12.therapy_ongoing"	"1"	"NA ,no ,"
"107"	"patient.drugs.drug.12.therapy_types.therapy_type"	"1"	"ancillary ,chemotherapy ,NA ,"
"109"	"patient.drugs.drug.12.total_dose"	"1"	"1450 ,655200 ,9425 ,NA ,"
"110"	"patient.drugs.drug.12.total_dose_units"	"1"	"mg ,NA ,"
"111"	"patient.drugs.drug.12.tx_on_clinical_trial"	"1"	"NA ,no ,"
"112"	"patient.drugs.drug.12.year_of_form_completion"	"1"	"2011 ,2012 ,NA ,"
"113"	"patient.drugs.drug.13.bcr_drug_barcode"	"1"	"NA ,tcga-a6-2671-d12771 ,tcga-a6-5664-d33773 ,tcga-g4-6297-d22096 ,tcga-g4-6303-d21790 ,"
"114"	"patient.drugs.drug.13.bcr_drug_uuid"	"1"	"7c651876-aff7-4947-9797-98c908dd30e4 ,8d7f0299-6cc1-4878-ad8d-efda900b42d1 ,ae58752c-d8c7-469a-a65b-72abf738364e ,feaaea2d-1e20-4535-a045-b8681e6342a9 ,NA ,"
"116"	"patient.drugs.drug.13.day_of_form_completion"	"1"	"16 ,19 ,23 ,7 ,NA ,"
"117"	"patient.drugs.drug.13.days_to_drug_therapy_end"	"1"	"1994 ,635 ,756 ,NA ,"
"118"	"patient.drugs.drug.13.days_to_drug_therapy_start"	"1"	"1840 ,2450 ,301 ,551 ,NA ,"
"119"	"patient.drugs.drug.13.drug_name"	"1"	"5fu ,bevacizumab ,fluorouracil ,NA ,oxaliplatin ,"
"120"	"patient.drugs.drug.13.measure_of_response"	"1"	"clinical progressive disease ,NA ,"
"121"	"patient.drugs.drug.13.month_of_form_completion"	"1"	"1 ,6 ,7 ,NA ,"
"122"	"patient.drugs.drug.13.number_cycles"	"1"	"10 ,13 ,4 ,NA ,"
"123"	"patient.drugs.drug.13.prescribed_dose"	"1"	"168 ,325 ,4300-4325 ,NA ,"
"124"	"patient.drugs.drug.13.prescribed_dose_units"	"1"	"mg ,NA ,"
"125"	"patient.drugs.drug.13.regimen_indication"	"1"	"NA ,progression ,"
"127"	"patient.drugs.drug.13.regimen_number"	"1"	"2 ,5 ,6 ,NA ,"
"128"	"patient.drugs.drug.13.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"129"	"patient.drugs.drug.13.therapy_ongoing"	"1"	"NA ,no ,yes ,"
"130"	"patient.drugs.drug.13.therapy_types.therapy_type"	"1"	"chemotherapy ,NA ,"
"132"	"patient.drugs.drug.13.total_dose"	"1"	"3240 ,56000 ,630 ,NA ,"
"133"	"patient.drugs.drug.13.total_dose_units"	"1"	"mg ,NA ,"
"134"	"patient.drugs.drug.13.tx_on_clinical_trial"	"1"	"NA ,no ,"
"135"	"patient.drugs.drug.13.year_of_form_completion"	"1"	"2011 ,2012 ,NA ,"
"136"	"patient.drugs.drug.14.bcr_drug_barcode"	"1"	"NA ,tcga-a6-2671-d12772 ,tcga-a6-5664-d33774 ,tcga-g4-6297-d22097 ,tcga-g4-6303-d21794 ,"
"137"	"patient.drugs.drug.14.bcr_drug_uuid"	"1"	"5ceb94a7-d009-4796-a6b3-e5d560cc9b81 ,6d5ce679-235e-463c-85a8-d6812506f399 ,d3db8174-2096-4232-874d-ed93b8c42cae ,d8cfb903-4b53-4fdb-b226-2893791a7adf ,NA ,"
"139"	"patient.drugs.drug.14.day_of_form_completion"	"1"	"16 ,19 ,23 ,7 ,NA ,"
"140"	"patient.drugs.drug.14.days_to_drug_therapy_end"	"1"	"1994 ,2450 ,637 ,754 ,NA ,"
"141"	"patient.drugs.drug.14.days_to_drug_therapy_start"	"1"	"1840 ,2450 ,301 ,725 ,NA ,"
"142"	"patient.drugs.drug.14.drug_name"	"1"	"5-fu ,fluorouracil ,leucovorin ,NA ,"
"143"	"patient.drugs.drug.14.measure_of_response"	"1"	"clinical progressive disease ,NA ,"
"144"	"patient.drugs.drug.14.month_of_form_completion"	"1"	"1 ,6 ,7 ,NA ,"
"145"	"patient.drugs.drug.14.number_cycles"	"1"	"1 ,10 ,3 ,NA ,"
"146"	"patient.drugs.drug.14.prescribed_dose"	"1"	"500 ,792 ,NA ,"
"147"	"patient.drugs.drug.14.prescribed_dose_units"	"1"	"mg ,NA ,"
"148"	"patient.drugs.drug.14.regimen_indication"	"1"	"NA ,progression ,"
"150"	"patient.drugs.drug.14.regimen_number"	"1"	"2 ,5 ,6 ,NA ,"
"151"	"patient.drugs.drug.14.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,intravesical ,NA ,"
"152"	"patient.drugs.drug.14.therapy_ongoing"	"1"	"NA ,no ,"
"153"	"patient.drugs.drug.14.therapy_types.therapy_type"	"1"	"chemotherapy ,NA ,other, specify ,"
"154"	"patient.drugs.drug.14.therapy_types.therapy_type_notes"	"1"	"ancillary ,NA ,"
"155"	"patient.drugs.drug.14.total_dose"	"1"	"1500 ,792 ,NA ,"
"156"	"patient.drugs.drug.14.total_dose_units"	"1"	"mg ,NA ,"
"157"	"patient.drugs.drug.14.tx_on_clinical_trial"	"1"	"NA ,no ,"
"158"	"patient.drugs.drug.14.year_of_form_completion"	"1"	"2011 ,2012 ,NA ,"
"159"	"patient.drugs.drug.15.bcr_drug_barcode"	"1"	"NA ,tcga-a6-2671-d12773 ,"
"160"	"patient.drugs.drug.15.bcr_drug_uuid"	"1"	"e0b656ab-0cd3-4cd5-84d9-919225e636f2 ,NA ,"
"162"	"patient.drugs.drug.15.day_of_form_completion"	"1"	"7 ,NA ,"
"163"	"patient.drugs.drug.15.days_to_drug_therapy_end"	"1"	"739 ,NA ,"
"164"	"patient.drugs.drug.15.days_to_drug_therapy_start"	"1"	"551 ,NA ,"
"165"	"patient.drugs.drug.15.drug_name"	"1"	"avastin ,NA ,"
"167"	"patient.drugs.drug.15.month_of_form_completion"	"1"	"6 ,NA ,"
"168"	"patient.drugs.drug.15.number_cycles"	"1"	"12 ,NA ,"
"169"	"patient.drugs.drug.15.prescribed_dose"	"1"	"300-325 ,NA ,"
"170"	"patient.drugs.drug.15.prescribed_dose_units"	"1"	"mg ,NA ,"
"171"	"patient.drugs.drug.15.regimen_indication"	"1"	"NA ,progression ,"
"173"	"patient.drugs.drug.15.regimen_number"	"1"	"2 ,NA ,"
"174"	"patient.drugs.drug.15.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"175"	"patient.drugs.drug.15.therapy_ongoing"	"1"	"NA ,no ,"
"176"	"patient.drugs.drug.15.therapy_types.therapy_type"	"1"	"NA ,targeted molecular therapy ,"
"178"	"patient.drugs.drug.15.total_dose"	"1"	"3775 ,NA ,"
"179"	"patient.drugs.drug.15.total_dose_units"	"1"	"mg ,NA ,"
"181"	"patient.drugs.drug.15.year_of_form_completion"	"1"	"2011 ,NA ,"
"182"	"patient.drugs.drug.16.bcr_drug_barcode"	"1"	"NA ,tcga-a6-2671-d31097 ,"
"183"	"patient.drugs.drug.16.bcr_drug_uuid"	"1"	"3254ea81-298b-461f-9e51-2daa00fb9c60 ,NA ,"
"185"	"patient.drugs.drug.16.day_of_form_completion"	"1"	"24 ,NA ,"
"186"	"patient.drugs.drug.16.days_to_drug_therapy_end"	"1"	"984 ,NA ,"
"187"	"patient.drugs.drug.16.days_to_drug_therapy_start"	"1"	"844 ,NA ,"
"188"	"patient.drugs.drug.16.drug_name"	"1"	"irinotecan ,NA ,"
"189"	"patient.drugs.drug.16.measure_of_response"	"1"	"clinical progressive disease ,NA ,"
"190"	"patient.drugs.drug.16.month_of_form_completion"	"1"	"4 ,NA ,"
"198"	"patient.drugs.drug.16.therapy_ongoing"	"1"	"NA ,no ,"
"199"	"patient.drugs.drug.16.therapy_types.therapy_type"	"1"	"chemotherapy ,NA ,"
"203"	"patient.drugs.drug.16.tx_on_clinical_trial"	"1"	"NA ,no ,"
"204"	"patient.drugs.drug.16.year_of_form_completion"	"1"	"2012 ,NA ,"
"205"	"patient.drugs.drug.17.bcr_drug_barcode"	"1"	"NA ,tcga-a6-2671-d31177 ,"
