"V1"	"V2"	"V3"	"V4"
"10"	"admin.project_code"	"0.709194750493951"	"NA ,tcga ,"
"13"	"patient.additional_studies.additional_study.disease_code"	"0.00566404913896397"	"fppp ,NA ,"
"14"	"patient.additional_studies.additional_study.project_code"	"0.00566404913896398"	"NA ,tcga ,"
"16"	"patient.anatomic_neoplasm_subdivision"	"0.354822588705647"	"bronchial ,l-lower ,l-upper ,NA ,other (please specify) ,r-lower ,r-middle ,r-upper ,"
"17"	"patient.anatomic_neoplasm_subdivision_other"	"1"	"all 3 lobes of rt lung ,lingula ,NA ,right upper, lower ,rul and rml ,"
"19"	"patient.clinical_cqcf.anatomic_neoplasm_subdivision"	"0.114942528735632"	"bronchus ,l-lower ,l-upper ,NA ,other (please specify) ,r-lower ,r-middle ,r-upper ,"
"20"	"patient.clinical_cqcf.consent_or_death_status"	"0.294852573713143"	"consented ,deceased ,waiver ,"
"21"	"patient.clinical_cqcf.country"	"0.35232383808096"	"australia ,canada ,germany ,NA ,romania ,russia ,ukraine ,united states ,vietnam ,"
"26"	"patient.clinical_cqcf.history_of_neoadjuvant_treatment"	"0.00123918529199712"	"no ,yes, pharmaceutical treatment prior to resection ,"
"27"	"patient.clinical_cqcf.history_of_prior_malignancy"	"0.0519740129935032"	"NA ,no ,yes, history of prior malignancy ,yes, history of synchronous and or bilateral malignancy ,"
"28"	"patient.clinical_cqcf.normal_tissue_anatomic_site"	"0.0184907546226887"	"bronchus ,lung ,NA ,other ,"
"29"	"patient.clinical_cqcf.normal_tissue_proximity"	"0.326836581709145"	"adjacent (< or = 2cm) ,distal (>2cm) ,NA ,"
"37"	"patient.days_to_initial_pathologic_diagnosis"	"0.709194750493951"	"0 ,NA ,"
"43"	"patient.drugs.drug.10.bcr_drug_barcode"	"1"	"NA ,tcga-53-7624-d39739 ,"
"44"	"patient.drugs.drug.10.bcr_drug_uuid"	"1"	"eac0a9fd-301b-48f7-afd2-499dfe2f0418 ,NA ,"
"46"	"patient.drugs.drug.10.day_of_form_completion"	"1"	"31 ,NA ,"
