"V1"	"V2"	"V3"	"V4"
"10"	"admin.project_code"	"0.175929040255757"	"NA ,tcga ,"
"14"	"patient.anatomic_neoplasm_subdivision"	"0.334832583708146"	"bronchial ,l-lower ,l-upper ,NA ,other (please specify) ,r-lower ,r-middle ,r-upper ,"
"15"	"patient.anatomic_neoplasm_subdivision_other"	"1"	"l-upper+lower ,left lingula ,left lung ,left lung, main bronchus ,NA ,right middle/lower - unsure which lobe ,right upper and right middle ,"
"17"	"patient.clinical_cqcf.anatomic_neoplasm_subdivision"	"0.0604697651174413"	"bronchus ,l-lower ,l-upper ,NA ,other (please specify) ,r-lower ,r-middle ,r-upper ,"
"18"	"patient.clinical_cqcf.consent_or_death_status"	"0.576211894052973"	"consented ,deceased ,NA ,"
"19"	"patient.clinical_cqcf.country"	"0.736131934032983"	"australia ,canada ,germany ,romania ,russia ,switzerland ,ukraine ,united states ,vietnam ,"
"23"	"patient.clinical_cqcf.histological_type"	"0.0859570214892554"	"basaloid squamous cell ,lung adenocarcinoma- not otherwise specified (nos) ,lung basaloid squamous cell carcinoma ,lung papillary squamous cell caricnoma ,lung small cell squamous cell carcinoma ,lung squamous cell carcinoma- not otherwise specified (nos) ,NA ,papillary squamous cell carcinoma ,small cell squamous cell ,squamous cell carcinoma  not otherwise specified ,"
"24"	"patient.clinical_cqcf.history_of_neoadjuvant_treatment"	"1"	"NA ,no ,yes, pharmaceutical treatment prior to resection ,"
"25"	"patient.clinical_cqcf.history_of_prior_malignancy"	"0.289355322338831"	"NA ,no ,yes, history of prior malignancy ,yes, history of synchronous and or bilateral malignancy ,"
"26"	"patient.clinical_cqcf.normal_tissue_anatomic_site"	"0.446276861569215"	"bronchus ,lung ,NA ,other ,"
"27"	"patient.clinical_cqcf.normal_tissue_proximity"	"0.848575712143928"	"adjacent (< or = 2cm) ,distal (>2cm) ,NA ,"
"35"	"patient.days_to_initial_pathologic_diagnosis"	"0.460423701056691"	"0 ,NA ,"
"41"	"patient.drugs.drug.10.bcr_drug_barcode"	"1"	"NA ,tcga-39-5029-d8475 ,"
"42"	"patient.drugs.drug.10.bcr_drug_uuid"	"1"	"9f10ef1f-7a1d-429e-b23c-e96c5c0370f8 ,NA ,"
"44"	"patient.drugs.drug.10.day_of_form_completion"	"1"	"11 ,NA ,"
"45"	"patient.drugs.drug.10.days_to_drug_therapy_end"	"1"	"672 ,NA ,"
"46"	"patient.drugs.drug.10.days_to_drug_therapy_start"	"1"	"672 ,NA ,"
"47"	"patient.drugs.drug.10.drug_name"	"1"	"NA ,vinorelbine tartrate ,"
"49"	"patient.drugs.drug.10.month_of_form_completion"	"1"	"2 ,NA ,"
"50"	"patient.drugs.drug.10.number_cycles"	"1"	"01 ,NA ,"
"51"	"patient.drugs.drug.10.prescribed_dose"	"1"	"0047 ,NA ,"
"52"	"patient.drugs.drug.10.prescribed_dose_units"	"1"	"mg ,NA ,"
"53"	"patient.drugs.drug.10.regimen_indication"	"1"	"NA ,palliative ,"
"55"	"patient.drugs.drug.10.regimen_number"	"1"	"01 ,NA ,"
"56"	"patient.drugs.drug.10.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"57"	"patient.drugs.drug.10.therapy_ongoing"	"1"	"NA ,no ,"
"58"	"patient.drugs.drug.10.therapy_types.therapy_type"	"1"	"chemotherapy ,NA ,"
"60"	"patient.drugs.drug.10.total_dose"	"1"	"00047 ,NA ,"
"61"	"patient.drugs.drug.10.total_dose_units"	"1"	"mg ,NA ,"
"63"	"patient.drugs.drug.10.year_of_form_completion"	"1"	"2011 ,NA ,"
"64"	"patient.drugs.drug.11.bcr_drug_barcode"	"1"	"NA ,tcga-39-5029-d8478 ,"
"65"	"patient.drugs.drug.11.bcr_drug_uuid"	"1"	"516143b0-8dc2-47af-89fb-fa266890d325 ,NA ,"
"67"	"patient.drugs.drug.11.day_of_form_completion"	"1"	"11 ,NA ,"
"68"	"patient.drugs.drug.11.days_to_drug_therapy_end"	"1"	"707 ,NA ,"
"69"	"patient.drugs.drug.11.days_to_drug_therapy_start"	"1"	"707 ,NA ,"
"70"	"patient.drugs.drug.11.drug_name"	"1"	"cetuximeb ,NA ,"
"72"	"patient.drugs.drug.11.month_of_form_completion"	"1"	"2 ,NA ,"
"73"	"patient.drugs.drug.11.number_cycles"	"1"	"01 ,NA ,"
"74"	"patient.drugs.drug.11.prescribed_dose"	"1"	"0460 ,NA ,"
"75"	"patient.drugs.drug.11.prescribed_dose_units"	"1"	"mg ,NA ,"
"76"	"patient.drugs.drug.11.regimen_indication"	"1"	"NA ,palliative ,"
"78"	"patient.drugs.drug.11.regimen_number"	"1"	"02 ,NA ,"
"79"	"patient.drugs.drug.11.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"80"	"patient.drugs.drug.11.therapy_ongoing"	"1"	"NA ,no ,"
"81"	"patient.drugs.drug.11.therapy_types.therapy_type"	"1"	"chemotherapy ,NA ,"
"83"	"patient.drugs.drug.11.total_dose"	"1"	"00460 ,NA ,"
"84"	"patient.drugs.drug.11.total_dose_units"	"1"	"mg ,NA ,"
"86"	"patient.drugs.drug.11.year_of_form_completion"	"1"	"2011 ,NA ,"
"87"	"patient.drugs.drug.12.bcr_drug_barcode"	"1"	"NA ,tcga-39-5029-d8480 ,"
"88"	"patient.drugs.drug.12.bcr_drug_uuid"	"1"	"cd41f6fc-2fb2-4ca0-8b57-cbe1d5d6a05d ,NA ,"
"90"	"patient.drugs.drug.12.day_of_form_completion"	"1"	"11 ,NA ,"
"91"	"patient.drugs.drug.12.days_to_drug_therapy_end"	"1"	"707 ,NA ,"
"92"	"patient.drugs.drug.12.days_to_drug_therapy_start"	"1"	"707 ,NA ,"
"93"	"patient.drugs.drug.12.drug_name"	"1"	"carboplatin ,NA ,"
"95"	"patient.drugs.drug.12.month_of_form_completion"	"1"	"2 ,NA ,"
"96"	"patient.drugs.drug.12.number_cycles"	"1"	"01 ,NA ,"
"97"	"patient.drugs.drug.12.prescribed_dose"	"1"	"0180 ,NA ,"
"98"	"patient.drugs.drug.12.prescribed_dose_units"	"1"	"mg ,NA ,"
"99"	"patient.drugs.drug.12.regimen_indication"	"1"	"NA ,palliative ,"
"101"	"patient.drugs.drug.12.regimen_number"	"1"	"02 ,NA ,"
"102"	"patient.drugs.drug.12.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"103"	"patient.drugs.drug.12.therapy_ongoing"	"1"	"NA ,no ,"
"104"	"patient.drugs.drug.12.therapy_types.therapy_type"	"1"	"chemotherapy ,NA ,"
"106"	"patient.drugs.drug.12.total_dose"	"1"	"00180 ,NA ,"
"107"	"patient.drugs.drug.12.total_dose_units"	"1"	"mg ,NA ,"
"109"	"patient.drugs.drug.12.year_of_form_completion"	"1"	"2011 ,NA ,"
"117"	"patient.drugs.drug.2.measure_of_response"	"0.0754622688655672"	"clinical progressive disease ,complete response ,NA ,partial response ,stable disease ,"
"121"	"patient.drugs.drug.2.prescribed_dose_units"	"0.437781109445277"	"auc ,mg ,mg/day ,mg/m2 ,NA ,"
"122"	"patient.drugs.drug.2.regimen_indication"	"0.608695652173913"	"adjuvant ,NA ,other: specify in notes ,palliative ,progression ,recurrence ,"
"123"	"patient.drugs.drug.2.regimen_indication_notes"	"1"	"NA ,neo-adjuvant ,recurrence of small cell carcinoma ,"
"124"	"patient.drugs.drug.2.regimen_number"	"1"	"01 ,02 ,1 ,2 ,3 ,NA ,"
"125"	"patient.drugs.drug.2.route_of_administrations.route_of_administration"	"0.776111944027986"	"intravenous (iv) ,NA ,oral ,"
"126"	"patient.drugs.drug.2.therapy_ongoing"	"0.0789605197401299"	"NA ,no ,yes ,"
"127"	"patient.drugs.drug.2.therapy_types.therapy_type"	"0.483258370814593"	"chemotherapy ,NA ,vaccine ,"
