"V1"	"V2"	"V3"	"V4"
"14"	"patient.anatomic_neoplasm_subdivision"	"1"	"NA ,rectosigmoid junction ,rectum ,sigmoid colon ,"
"16"	"patient.braf_gene_analysis_performed"	"0.394302848575712"	"NA ,no ,yes ,"
"17"	"patient.braf_gene_analysis_result"	"0.282486986699821"	"NA ,normal ,"
"20"	"patient.clinical_cqcf.country"	"0.325337331334333"	"germany ,NA ,poland ,russia ,ukraine ,united states ,"
"23"	"patient.clinical_cqcf.frozen_specimen_anatomic_site"	"0.263868065967017"	"rectosigmoid junction ,rectum ,sigmoid colon ,"
"24"	"patient.clinical_cqcf.histological_type"	"0.156921539230385"	"NA ,rectal adenocarcinoma ,rectal mucinous adenocarcinoma ,"
"26"	"patient.clinical_cqcf.history_of_prior_malignancy"	"0.431037262169245"	"no ,yes, history of prior malignancy ,"
"27"	"patient.clinical_cqcf.normal_tissue_anatomic_site"	"0.44127936031984"	"NA ,other ,rectum ,sigmoid colon ,"
"28"	"patient.clinical_cqcf.normal_tissue_proximity"	"0.587213962285002"	"distal (>2cm) ,NA ,"
"30"	"patient.clinical_cqcf.other_anatomic_site_normal_tissue"	"0.240690112138645"	"blood ,NA ,"
"33"	"patient.colon_polyps_present"	"0.771114442778611"	"NA ,no ,yes ,"
"41"	"patient.drugs.drug.10.bcr_drug_barcode"	"1"	"NA ,tcga-af-2689-d3030 ,tcga-af-3914-d41489 ,"
"42"	"patient.drugs.drug.10.bcr_drug_uuid"	"1"	"22e444fa-7135-4389-bad0-7f7bcdc45420 ,a35156fa-affb-498c-ae11-e35ecc46908e ,NA ,"
"44"	"patient.drugs.drug.10.day_of_form_completion"	"1"	"19 ,5 ,NA ,"
"45"	"patient.drugs.drug.10.days_to_drug_therapy_end"	"1"	"1024 ,346 ,NA ,"
"46"	"patient.drugs.drug.10.days_to_drug_therapy_start"	"1"	"316 ,924 ,NA ,"
"47"	"patient.drugs.drug.10.drug_name"	"1"	"5fu ,fluorouracil iv continuous infusion over 46 hours ,NA ,"
"48"	"patient.drugs.drug.10.measure_of_response"	"1"	"NA ,stable disease ,"
"49"	"patient.drugs.drug.10.month_of_form_completion"	"1"	"11 ,3 ,NA ,"
"50"	"patient.drugs.drug.10.number_cycles"	"1"	"3 ,NA ,"
"51"	"patient.drugs.drug.10.prescribed_dose"	"1"	"3408-3456 ,NA ,"
"52"	"patient.drugs.drug.10.prescribed_dose_units"	"1"	"mg ,NA ,"
"53"	"patient.drugs.drug.10.regimen_indication"	"1"	"NA ,progression ,"
"55"	"patient.drugs.drug.10.regimen_number"	"1"	"1 ,NA ,"
"56"	"patient.drugs.drug.10.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"57"	"patient.drugs.drug.10.therapy_ongoing"	"1"	"NA ,no ,"
"58"	"patient.drugs.drug.10.therapy_types.therapy_type"	"1"	"chemotherapy ,NA ,"
"59"	"patient.drugs.drug.10.therapy_types.therapy_type.2"	"1"	"NA ,other, specify ,"
"60"	"patient.drugs.drug.10.therapy_types.therapy_type_notes"	"1"	"NA ,velour 10262 study- aflibercept/placebo (4mg/kg) every 2 weeks with irinotecan/5fu combination (folfiri) ,"
"61"	"patient.drugs.drug.10.total_dose"	"1"	"10296 ,NA ,"
"62"	"patient.drugs.drug.10.total_dose_units"	"1"	"mg ,NA ,"
"63"	"patient.drugs.drug.10.tx_on_clinical_trial"	"1"	"NA ,no ,"
"64"	"patient.drugs.drug.10.year_of_form_completion"	"1"	"2010 ,2013 ,NA ,"
"65"	"patient.drugs.drug.11.bcr_drug_barcode"	"1"	"NA ,tcga-af-2689-d3307 ,"
"66"	"patient.drugs.drug.11.bcr_drug_uuid"	"1"	"5df65b50-c401-4ff5-af88-293a113e284a ,NA ,"
"68"	"patient.drugs.drug.11.day_of_form_completion"	"1"	"12 ,NA ,"
"69"	"patient.drugs.drug.11.days_to_drug_therapy_end"	"1"	"559 ,NA ,"
"70"	"patient.drugs.drug.11.days_to_drug_therapy_start"	"1"	"379 ,NA ,"
"71"	"patient.drugs.drug.11.drug_name"	"1"	"fudr (floxuridine) ,NA ,"
"73"	"patient.drugs.drug.11.month_of_form_completion"	"1"	"11 ,NA ,"
"75"	"patient.drugs.drug.11.prescribed_dose"	"1"	"1135-1500 ,NA ,"
"76"	"patient.drugs.drug.11.prescribed_dose_units"	"1"	"mg ,NA ,"
"77"	"patient.drugs.drug.11.regimen_indication"	"1"	"NA ,progression ,"
"79"	"patient.drugs.drug.11.regimen_number"	"1"	"2 ,NA ,"
"80"	"patient.drugs.drug.11.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"81"	"patient.drugs.drug.11.therapy_ongoing"	"1"	"NA ,no ,"
"82"	"patient.drugs.drug.11.therapy_types.therapy_type"	"1"	"chemotherapy ,NA ,"
"85"	"patient.drugs.drug.11.total_dose_units"	"1"	"mg ,NA ,"
"87"	"patient.drugs.drug.11.year_of_form_completion"	"1"	"2010 ,NA ,"
"88"	"patient.drugs.drug.12.bcr_drug_barcode"	"1"	"NA ,tcga-af-2689-d3308 ,"
"89"	"patient.drugs.drug.12.bcr_drug_uuid"	"1"	"8c673e37-976e-454d-841d-a0888f2d93ed ,NA ,"
"91"	"patient.drugs.drug.12.day_of_form_completion"	"1"	"12 ,NA ,"
"92"	"patient.drugs.drug.12.days_to_drug_therapy_end"	"1"	"559 ,NA ,"
"93"	"patient.drugs.drug.12.days_to_drug_therapy_start"	"1"	"379 ,NA ,"
"94"	"patient.drugs.drug.12.drug_name"	"1"	"camptosar ,NA ,"
"96"	"patient.drugs.drug.12.month_of_form_completion"	"1"	"11 ,NA ,"
"98"	"patient.drugs.drug.12.prescribed_dose"	"1"	"330-430 ,NA ,"
"99"	"patient.drugs.drug.12.prescribed_dose_units"	"1"	"mg ,NA ,"
