"V1"	"V2"	"V3"	"V4"
"17"	"patient.clinical_cqcf.consent_or_death_status"	"0.504247876061969"	"consented ,deceased ,exemption 4 ,NA ,"
"23"	"patient.clinical_cqcf.history_of_neoadjuvant_treatment"	"0.714458069346501"	"no ,yes, pharmaceutical treatment prior to resection ,"
"24"	"patient.clinical_cqcf.normal_tissue_anatomic_site"	"0.274362818590705"	"NA ,other ,skin ,"
"25"	"patient.clinical_cqcf.normal_tissue_proximity"	"0.27009729187547"	"distal (>2cm) ,NA ,"
"30"	"patient.clinical_cqcf.tumor_type"	"0.861640624152164"	"metastatic ,primary ,"
"34"	"patient.days_to_initial_pathologic_diagnosis"	"1"	"0 ,NA ,"
"41"	"patient.drugs.drug.2.clinical_trail_drug_classification"	"0.622688655672164"	"mage a3 vaccine ,mek inhibitor ,melanoma-derived helper peptides ,NA ,vaccine ,"
"46"	"patient.drugs.drug.2.measure_of_response"	"0.67216391804098"	"clinical progressive disease ,complete response ,NA ,partial response ,stable disease ,"
"48"	"patient.drugs.drug.2.number_cycles"	"1"	"1 ,2 ,NA ,"
"49"	"patient.drugs.drug.2.prescribed_dose"	"1"	"1 ,NA ,"
"50"	"patient.drugs.drug.2.prescribed_dose_units"	"1"	"g/day ,NA ,"
"51"	"patient.drugs.drug.2.regimen_indication"	"1"	"adjuvant ,NA ,progression ,"
"53"	"patient.drugs.drug.2.regimen_number"	"1"	"10-095 ,6 ,NA ,"
"54"	"patient.drugs.drug.2.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"55"	"patient.drugs.drug.2.therapy_ongoing"	"0.489255372313843"	"NA ,no ,yes ,"
"56"	"patient.drugs.drug.2.therapy_types.therapy_type"	"0.759620189905047"	"chemotherapy ,hormone therapy ,immunotherapy ,NA ,targeted molecular therapy ,vaccine ,"
"60"	"patient.drugs.drug.2.tx_on_clinical_trial"	"0.644677661169415"	"NA ,no ,yes ,"
"61"	"patient.drugs.drug.2.year_of_form_completion"	"0.607696151924038"	"2012 ,2013 ,2014 ,NA ,"
"64"	"patient.drugs.drug.3.clinical_trail_drug_classification"	"1"	"canvax ,class i mhc restricted peptide based vaccine ,immunotherapy ,multi-kinase inhibitor ,NA ,tcv ,"
"69"	"patient.drugs.drug.3.measure_of_response"	"1"	"clinical progressive disease ,complete response ,NA ,partial response ,stable disease ,"
"72"	"patient.drugs.drug.3.prescribed_dose"	"1"	"480 ,NA ,"
"73"	"patient.drugs.drug.3.prescribed_dose_units"	"1"	"mg ,NA ,"
"74"	"patient.drugs.drug.3.regimen_indication"	"1"	"NA ,progression ,"
"78"	"patient.drugs.drug.3.therapy_ongoing"	"0.406296851574213"	"NA ,no ,yes ,"
"79"	"patient.drugs.drug.3.therapy_types.therapy_type"	"0.429785107446277"	"ancillary ,chemotherapy ,immunotherapy ,NA ,targeted molecular therapy ,vaccine ,"
"83"	"patient.drugs.drug.3.tx_on_clinical_trial"	"0.890054972513743"	"NA ,no ,yes ,"
"84"	"patient.drugs.drug.3.year_of_form_completion"	"0.27936031984008"	"2012 ,2013 ,2014 ,NA ,"
"87"	"patient.drugs.drug.4.clinical_trail_drug_classification"	"1"	"braf and mek inhibitor ,chemotherapy ,dendritic cell therapy ,NA ,"
"92"	"patient.drugs.drug.4.measure_of_response"	"0.75512243878061"	"clinical progressive disease ,complete response ,NA ,partial response ,"
"93"	"patient.drugs.drug.4.month_of_form_completion"	"1"	"1 ,10 ,11 ,2 ,3 ,5 ,6 ,7 ,9 ,NA ,"
"101"	"patient.drugs.drug.4.therapy_ongoing"	"0.236439835472693"	"NA ,no ,"
"102"	"patient.drugs.drug.4.therapy_types.therapy_type"	"1"	"ancillary ,chemotherapy ,immunotherapy ,NA ,targeted molecular therapy ,"
"106"	"patient.drugs.drug.4.tx_on_clinical_trial"	"0.67216391804098"	"NA ,no ,yes ,"
"107"	"patient.drugs.drug.4.year_of_form_completion"	"0.828585707146427"	"2012 ,2013 ,2014 ,2015 ,NA ,"
"108"	"patient.drugs.drug.5.bcr_drug_barcode"	"1"	"NA ,tcga-eb-a24c-d40314 ,tcga-eb-a57m-d49922 ,tcga-ee-a29c-d68734 ,tcga-ee-a2gs-d59683 ,tcga-fs-a1ze-d66925 ,tcga-w3-a825-d59258 ,tcga-w3-aa1q-d62010 ,"
"109"	"patient.drugs.drug.5.bcr_drug_uuid"	"1"	"47a8fabb-17dd-4089-aa7b-c16923da985a ,51b722aa-2f6a-4bc0-8a5a-0764cf606d73 ,5e7d38cf-5687-4848-afab-c3dba39e24e2 ,656522f4-88f5-4c8c-b9f5-272929428ace ,7821bea2-841b-4a03-aa6d-4518d9f20c47 ,e7fc2055-7f70-431b-91bd-d974459fd778 ,ed7938c2-23c8-4cc7-a1ee-0194d139c83c ,NA ,"
"111"	"patient.drugs.drug.5.day_of_form_completion"	"1"	"14 ,15 ,17 ,20 ,28 ,6 ,NA ,"
"112"	"patient.drugs.drug.5.days_to_drug_therapy_end"	"1"	"1249 ,157 ,1767 ,2413 ,559 ,NA ,"
"113"	"patient.drugs.drug.5.days_to_drug_therapy_start"	"1"	"1188 ,1644 ,1735 ,2262 ,23 ,2372 ,505 ,NA ,"
"114"	"patient.drugs.drug.5.drug_name"	"1"	"carboplatin paclitaxel ,dacarbazine ,gemcitabine ,interleukin-2 ,laferon ,NA ,trametinib ,vemurafenib ,"
"115"	"patient.drugs.drug.5.measure_of_response"	"1"	"clinical progressive disease ,complete response ,NA ,partial response ,"
"116"	"patient.drugs.drug.5.month_of_form_completion"	"1"	"10 ,12 ,2 ,5 ,7 ,NA ,"
"124"	"patient.drugs.drug.5.therapy_ongoing"	"1"	"NA ,no ,"
"125"	"patient.drugs.drug.5.therapy_types.therapy_type"	"1"	"chemotherapy ,immunotherapy ,NA ,targeted molecular therapy ,"
"129"	"patient.drugs.drug.5.tx_on_clinical_trial"	"1"	"NA ,no ,yes ,"
"130"	"patient.drugs.drug.5.year_of_form_completion"	"1"	"2013 ,2014 ,NA ,"
"131"	"patient.drugs.drug.6.bcr_drug_barcode"	"1"	"NA ,tcga-eb-a24c-d40315 ,tcga-eb-a57m-d49923 ,tcga-w3-a825-d59259 ,tcga-w3-aa1q-d61974 ,"
"132"	"patient.drugs.drug.6.bcr_drug_uuid"	"1"	"1847d54c-5c9f-426c-9678-31ced121e3b8 ,265c2eea-fa05-462a-9598-af6c79f5dea4 ,839fdc5d-5d0e-453f-b8b8-3300cc5a1885 ,a0f6e18a-b10b-4902-89aa-bf9808530488 ,NA ,"
