"V1"	"V2"	"V3"	"V4"
"16"	"patient.clinical_cqcf.anatomic_neoplasm_subdivision"	"0.496751624187906"	"left ,NA ,right ,"
"17"	"patient.clinical_cqcf.consent_or_death_status"	"1"	"consented ,deceased ,"
"18"	"patient.clinical_cqcf.country"	"0.809095452273863"	"canada ,russia ,united states ,vietnam ,"
"22"	"patient.clinical_cqcf.histological_type"	"0.379810094952524"	"classical/usual (papillary nos) ,other  specify ,thyroid papillary carcinoma - follicular (>= 99% follicular patterned) ,thyroid papillary carcinoma - tall cell (>= 50% tall cell features) ,"
"23"	"patient.clinical_cqcf.history_of_neoadjuvant_treatment"	"1"	"no ,yes, radiation prior to resection ,"
"24"	"patient.clinical_cqcf.normal_tissue_anatomic_site"	"0.148925537231384"	"NA ,other ,thyroid gland ,"
"25"	"patient.clinical_cqcf.normal_tissue_proximity"	"0.0753756995847251"	"distal (>2cm) ,NA ,"
"27"	"patient.clinical_cqcf.other_diagnosis"	"0.27936031984008"	"columnar cell variant ,cribiform morular ,cribriform morular ,diffuse sclerosing variant ,diffuse sclerosing variant of papillary carcinoma ,encapsulated follicular variant ,NA ,papillary carcinoma: mixed papillary and follicular variant ,"
"29"	"patient.clinical_cqcf.tumor_focality"	"0.370814592703648"	"multifocal ,NA ,unifocal ,"
"40"	"patient.drugs.drug.2.day_of_form_completion"	"1"	"17 ,18 ,5 ,NA ,"
"41"	"patient.drugs.drug.2.days_to_drug_therapy_end"	"1"	"56 ,NA ,"
"43"	"patient.drugs.drug.2.drug_name"	"1"	"cytomel ,levothyroxine ,levoxyl ,NA ,synthroid ,"
"45"	"patient.drugs.drug.2.month_of_form_completion"	"1"	"10 ,2 ,NA ,"
"53"	"patient.drugs.drug.2.therapy_ongoing"	"1"	"NA ,no ,yes ,"
"54"	"patient.drugs.drug.2.therapy_types.therapy_type"	"1"	"hormone therapy ,NA ,"
"58"	"patient.drugs.drug.2.tx_on_clinical_trial"	"1"	"NA ,no ,"
"59"	"patient.drugs.drug.2.year_of_form_completion"	"1"	"2012 ,2013 ,NA ,"
"60"	"patient.drugs.drug.3.bcr_drug_barcode"	"1"	"NA ,tcga-e3-a3dz-d35668 ,"
"61"	"patient.drugs.drug.3.bcr_drug_uuid"	"1"	"c3a97780-4ecf-4cb9-a66a-847cf6fc9265 ,NA ,"
"63"	"patient.drugs.drug.3.day_of_form_completion"	"1"	"5 ,NA ,"
"65"	"patient.drugs.drug.3.days_to_drug_therapy_start"	"1"	"59 ,NA ,"
"66"	"patient.drugs.drug.3.drug_name"	"1"	"NA ,synthroid ,"
"68"	"patient.drugs.drug.3.month_of_form_completion"	"1"	"10 ,NA ,"
"76"	"patient.drugs.drug.3.therapy_ongoing"	"1"	"NA ,yes ,"
"77"	"patient.drugs.drug.3.therapy_types.therapy_type"	"1"	"hormone therapy ,NA ,"
"81"	"patient.drugs.drug.3.tx_on_clinical_trial"	"1"	"NA ,no ,"
"82"	"patient.drugs.drug.3.year_of_form_completion"	"1"	"2012 ,NA ,"
"89"	"patient.drugs.drug.drug_name"	"1"	"armour thyroid ,cytomel ,doxorubicin ,i-131 ,levothroid ,levothyroxine ,levoxyl ,NA ,synthroid ,"
"90"	"patient.drugs.drug.measure_of_response"	"1"	"complete response ,NA ,stable disease ,"
"91"	"patient.drugs.drug.month_of_form_completion"	"1"	"1 ,10 ,11 ,2 ,3 ,4 ,5 ,6 ,8 ,NA ,"
"92"	"patient.drugs.drug.number_cycles"	"1"	"1 ,NA ,"
"93"	"patient.drugs.drug.prescribed_dose"	"1"	"50 ,NA ,"
"94"	"patient.drugs.drug.prescribed_dose_units"	"1"	"mci ,NA ,"
"95"	"patient.drugs.drug.regimen_indication"	"1"	"adjuvant ,NA ,"
"97"	"patient.drugs.drug.regimen_number"	"1"	"1 ,NA ,"
"98"	"patient.drugs.drug.route_of_administrations.route_of_administration"	"1"	"NA ,oral ,"
"99"	"patient.drugs.drug.therapy_ongoing"	"0.739130434782609"	"NA ,no ,yes ,"
"100"	"patient.drugs.drug.therapy_types.therapy_type"	"0.667166416791604"	"chemotherapy ,hormone therapy ,NA ,other, specify ,"
"101"	"patient.drugs.drug.therapy_types.therapy_type_notes"	"1"	"NA ,radioactive iodine ,"
"102"	"patient.drugs.drug.total_dose"	"1"	"50 ,NA ,"
"103"	"patient.drugs.drug.total_dose_units"	"1"	"mci ,NA ,"
"104"	"patient.drugs.drug.tx_on_clinical_trial"	"0.380869264291813"	"NA ,no ,"
"105"	"patient.drugs.drug.year_of_form_completion"	"0.790104947526237"	"2011 ,2012 ,2013 ,2014 ,NA ,"
"106"	"patient.ethnicity"	"0.942028985507246"	"hispanic or latino ,NA ,not hispanic or latino ,"
"107"	"patient.extrathyroid_carcinoma_present_extension_status"	"0.719640179910045"	"minimal (t3) ,moderate/advanced (t4a) ,NA ,none ,very advanced (t4b) ,"
"108"	"patient.first_degree_relative_history_thyroid_gland_carcinoma_diagnosis_relationship_types.first_degree_relative_history_thyroid_gland_carcinoma_diagnosis_relationship_type"	"1"	"child ,NA ,parent ,sibling ,"
"109"	"patient.first_degree_relative_history_thyroid_gland_carcinoma_diagnosis_relationship_types.first_degree_relative_history_thyroid_gland_carcinoma_diagnosis_relationship_type.2"	"1"	"child ,NA ,"
"116"	"patient.follow_ups.follow_up.2.followup_case_report_form_submission_reason"	"1"	"additional new tumor event ,NA ,scheduled follow-up submission ,"
"118"	"patient.follow_ups.follow_up.2.i_131_subsequent_administered_dose"	"1"	"100 ,NA ,no ,"
"120"	"patient.follow_ups.follow_up.2.i_131_total_administered_preparation_technique"	"0.140429785107446"	"NA ,patient did not receive i-131 treatment ,rhtsh ,thyroxine withdrawal ,"
"121"	"patient.follow_ups.follow_up.2.lost_follow_up"	"0.0804597701149425"	"NA ,no ,yes ,"
"122"	"patient.follow_ups.follow_up.2.month_of_form_completion"	"1"	"1 ,10 ,2 ,3 ,4 ,5 ,8 ,9 ,NA ,"
"123"	"patient.follow_ups.follow_up.2.new_tumor.additional_pharmaceutical_therapy"	"1"	"NA ,no ,"
"124"	"patient.follow_ups.follow_up.2.new_tumor.additional_radiation_therapy"	"1"	"NA ,no ,"
"125"	"patient.follow_ups.follow_up.2.new_tumor.additional_surgery_locoregional_procedure"	"1"	"NA ,yes ,"
"126"	"patient.follow_ups.follow_up.2.new_tumor.days_to_additional_surgery_metastatic_procedure"	"1"	"693 ,NA ,"
"127"	"patient.follow_ups.follow_up.2.new_tumor.days_to_new_tumor_event_after_initial_treatment"	"1"	"693 ,NA ,"
"128"	"patient.follow_ups.follow_up.2.new_tumor_events.new_tumor_event.2.additional_pharmaceutical_therapy"	"1"	"NA ,no ,"
"129"	"patient.follow_ups.follow_up.2.new_tumor_events.new_tumor_event.2.additional_radiation_therapy"	"1"	"NA ,no ,"
"130"	"patient.follow_ups.follow_up.2.new_tumor_events.new_tumor_event.2.days_to_new_tumor_event_additional_surgery_procedure"	"1"	"1249 ,NA ,"
"131"	"patient.follow_ups.follow_up.2.new_tumor_events.new_tumor_event.2.days_to_new_tumor_event_after_initial_treatment"	"1"	"1135 ,2072 ,NA ,"
