"Sample_A_Adult_mTEC 2"	"Sample_B_Adult_cTEC 2"	"Sample_C_Embryonic_mTEC 2"	"Sample_D_Embryonic_cTEC 2"
"Xkr4"	3.34678011113804	2.42199743430335	4.02560154724098	-0.391227086471594
"RP23-317L18.3"	-1.68223934042194	-2.21652239578685	-0.673733444849718	-4.20667141118947
"RP23-122M2.3"	-3.86449083459789	0.0802691331029918	-0.285876886576338	-4.20667141118947
"Gm6085"	-4.41082959510087	-0.667722076358055	-2.09121723054575	0.174659526115813
"RP23-34E15.4"	-2.21652239578685	0.619372908446026	0.171052758456993	0.174659526115813
"Mrpl15"	5.730291250803	6.1565240436551	6.31164310788761	6.50337976229516
"Lypla1"	6.56487917532518	7.10693779352026	6.87695751517724	6.97801429778876
"Tcea1"	5.9322411396675	5.97973474348488	6.32380881338012	6.07374463740046
"Gm6104"	-4.22565862449779	-1.25861275632873	0.882842328618237	1.53969484006304
"Rgs20"	4.08790974626189	0.656128850899347	2.35448041957864	-1.74334402233855
"Atp6v1h"	7.47976237781589	7.72421536253235	6.86041198029721	6.3888632338686
"Npbwr1"	0.913337792444385	0.285232101554875	0.414165889483512	-1.74334402233855
"Rb1cc1"	6.36346130160317	6.19992017269062	6.12436002763204	6.02576054122685
"4732440D04Rik"	-0.456582036643451	0.930780846899039	1.35587014190782	1.89180371054834
"RP23-76C20.4"	-0.47432441692015	-1.67299078855139	-1.4422497087067	0.762499678542013
"St18"	3.58658114808973	0.245778607826864	1.23826440621067	-1.12835954327532
"Pcmtd1"	6.43644137217844	7.12920634349794	5.40169536426866	5.60376425031336
"WI1-817D1.2"	-3.73589870441773	-4.20667141118947	-1.68223934042194	0.449301109980395
"RP24-181G14.2"	-0.98544271512805	-4.20667141118947	1.30235714683775	-4.20667141118947
"Sntg1"	0.198090431197204	-4.20667141118947	-2.79373106422445	0.0547453313498076
"Rrs1"	4.84921893644061	6.07259784217894	5.81652405281489	5.5120938220158
"Adhfe1"	-0.174568376840294	6.08112821582697	-1.4422497087067	2.67516251306435
"Mybl1"	-0.0623987448387588	1.15859223493613	0.550762124304975	1.58893840406573
"Vcpip1"	5.82494264623901	5.55238822126837	5.9917527052968	6.06483127804619
"1700034P13Rik"	1.83383732259641	-0.98544271512805	-1.25861275632873	-0.329051091361581
"Sgk3"	6.97442268226499	5.18190769359212	5.41599379083987	5.39453931872542
"Snhg6"	2.87613129116095	1.64309822540077	3.45435284403911	3.28349150819684
"Tcf24"	1.84976238310726	-4.20667141118947	-2.3858547925599	0.725939715409929
"Cops5"	6.57496290485362	6.95404906000732	6.92803364597981	6.86019168583401
"Cspp1"	4.26381674800351	4.23053844276473	3.94593544062816	4.5599068293179
"RP23-228G18.6"	-3.93178749280174	-1.12835954327532	0.216055351241343	1.15859223493613
"Arfgef1"	7.32126794163062	7.10752756691826	7.28788225441644	7.0635823128722
"Prex2"	-0.174568376840294	3.2127779309839	0.550762124304975	3.53590251766108
"A830018L16Rik"	2.24423342844592	3.55169831696691	1.0102410839665	2.05589621473796
"RP23-2K13.1"	-2.57009619110146	-0.585108552615409	-4.22565862449779	-0.590833653142929
"Sulf1"	6.0173807598289	8.25188559458397	6.62165058592957	8.5109037926514
"Slco5a1"	7.01197230096768	4.31636469286333	7.62157071967724	5.36705698003868
"Prdm14"	0.946852765854606	-4.20667141118947	-1.25861275632873	-4.20667141118947
"Ncoa2"	6.37364999774057	6.27390296288997	6.3783827094761	6.58859016238401
"RP23-93D12.2"	-4.38828014285798	-4.20667141118947	-0.762406987725622	-0.0135970521219881
"RP23-125I14.2"	-2.84826645350341	-2.57009619110146	-0.456582036643451	0.124547610928876
"RP23-125I14.1"	-0.756079215593325	0.351170372263005	0.449301109980395	1.18581802108392
"Tram1"	7.82600059902571	8.05071835327806	8.61995967916248	7.9287675662175
"Lactb2"	4.01849653295901	4.93969250654009	4.98208855272029	3.86124970573952
"Xkr9"	3.33867073621081	-0.880401700881039	-0.17907685754786	-4.20667141118947
"RP23-74B7.1"	0.769860623015133	0.688392507641896	2.43940157748659	3.54504639731166
"Eya1"	6.82665437273281	7.09934875784119	6.60931851310372	6.93180215543291
"Gm9947"	0.541116791580082	1.75642026102666	1.89180371054834	0.242343593670289
"Msc"	6.22653806266617	5.78288262898772	7.36661733706324	5.96544329790901
"Trpa1"	2.40291615972703	-4.20667141118947	-1.25861275632873	-0.234269674688107
"Kcnb2"	2.36610165727595	-1.29962137342771	1.71839754847649	-0.456582036643451
"Terf1"	3.29360723765756	4.15204269230172	5.17270573987337	5.48772060218397
"Rpl7"	8.302543233608	7.78579900879799	8.81620517395188	8.63371156274444
"Rdh10"	5.85894178091006	6.19353618986206	5.55941197601968	6.24828487423932
"Stau2"	6.01001602921373	5.36071448423763	5.75946260924743	6.34591845668371
"Ube2w"	5.74650312952035	6.30895763520245	5.61631926733813	6.23608976126569
"Tceb1"	7.21568413844836	6.7255673678986	7.25800492779703	6.91380891596387
"Tmem70"	6.6977972337051	6.07077266927395	6.45903026063111	6.13885388986781
"Ly96"	3.8513340412452	3.72501789745207	3.83712842390139	2.89189574293407
"Jph1"	5.83797736670011	5.11436846141439	5.47652860415828	5.49231647125179
"Gdap1"	3.31280214061763	-4.20667141118947	1.4440752825234	0.0547453313498076
"Crispld1"	2.37908122503523	2.64558078119983	5.40425712191647	-0.329051091361581
"Tfap2b"	6.10217569612497	-1.09308740671409	0.171052758456993	-4.20667141118947
"Mcm3"	5.71160431459413	5.65906614194175	7.98143255423532	7.52935929678685
