"Sample_CD122_negative 2"	"Sample_CD122_positive 2"
"Gm6085"	-4.76365831902528	-0.558232037663428
"RP23-34E15.4"	-2.93372941385615	-0.781643734886421
"Mrpl15"	6.98058685921002	6.4444078492971
"Lypla1"	6.8573480243784	6.70274731771831
"Tcea1"	6.42749402667757	6.70946134374447
"Gm6104"	-2.0075681461513	-0.938031992840618
"Atp6v1h"	6.76289540929071	6.91617504547824
"Rb1cc1"	6.41287089956312	7.0239617625096
"4732440D04Rik"	0.81160049562769	4.07327001309337
"RP23-5K7.4"	-4.8565812004128	-2.63645367103463
"Pcmtd1"	5.2149370105498	6.96780652724108
"WI1-817D1.2"	-0.0337399554771123	-4.83103242003542
"Gm26901"	-0.780183337186638	-4.83103242003542
"RP23-397E23.1"	-4.89536886326365	-1.34178944454766
"Gm24276"	-4.8565812004128	-1.34178944454766
"Rrs1"	6.73870499977072	5.4589770262835
"Adhfe1"	-4.03482855442014	-4.83103242003542
"Mybl1"	-4.79671259389965	-4.83103242003542
"Vcpip1"	6.3822618405881	5.10162914483246
"1700034P13Rik"	-4.29173028327262	-4.83103242003542
"Sgk3"	6.80216755105876	4.69221909821934
"Mcmdc2"	-4.8565812004128	-4.83103242003542
"Snhg6"	3.92253372316602	3.13470110445077
"Tcf24"	-2.6987870404237	-4.83103242003542
"Cops5"	6.92473836043065	6.74719621780101
"Cspp1"	3.49031497277615	4.27511615395792
"RP23-228G18.6"	-4.89536886326365	-4.83103242003542
"Arfgef1"	7.03200533839385	6.80216755105876
"RP24-327F2.1"	-4.79671259389965	-4.83103242003542
"Cpa6"	-4.79671259389965	-4.83103242003542
"Prex2"	-4.89536886326365	-4.83103242003542
"Slco5a1"	-4.97878794224898	-4.83103242003542
"Ncoa2"	5.91231180635242	5.83034960599061
"RP23-93D12.2"	-4.97878794224898	-4.83103242003542
"RP23-93D12.1"	-4.8565812004128	-4.83103242003542
"RP23-125I14.2"	-0.549426048822072	3.41821653123507
"RP23-125I14.1"	-4.03482855442014	-1.48445413565309
"Tram1"	9.45781679727867	9.62464657098401
"Lactb2"	4.77612212900301	3.13470110445077
"RP23-70F22.2"	-4.29173028327262	-4.83103242003542
"Eya1"	3.15109988078114	4.28553166814217
"Rpl5-ps1"	-4.81194978427833	-1.8958527126167
"Trpa1"	-4.97878794224898	-4.83103242003542
"Terf1"	4.38550282509103	5.24662316918582
"Sbspon"	-4.97878794224898	-4.83103242003542
"Rpl7"	9.42077471683416	9.26572630062835
"Rdh10"	2.76166092671302	1.06728573646477
"Stau2"	3.00196099964149	-4.83103242003542
"Ube2w"	5.7771952585237	5.68264155832767
"RP23-382H8.2"	-3.7965336533002	-4.83103242003542
"Tceb1"	6.74443851717004	6.48442027971328
"Tmem70"	6.26892474422283	5.44856450986468
"Ly96"	1.58747999511671	4.1315240712055
"Jph1"	-4.89536886326365	-4.83103242003542
"Gdap1"	-4.97878794224898	-4.83103242003542
"Crispld1"	-1.37648209296078	-4.83103242003542
"AC098736.2"	-4.83103242003542	-4.83103242003542
"Mcm3"	9.29484766275801	8.1116470801674
"Paqr8"	4.91847169988594	-4.83103242003542
"Efhc1"	-4.81194978427833	-4.83103242003542
"Tram2"	3.45716225716466	-4.83103242003542
"Gm2693"	-4.83103242003542	-4.83103242003542
"Tmem14a"	0.58555747265046	1.17117988208949
