PROBEID	LowvsGlass_FC	LowvsGlass_pval
11715442_s_at	-47.62092404	5.70E-21
11724282_a_at	6.951217951	2.04E-19
11732106_a_at	7.330822077	3.59E-19
11750410_a_at	7.126854818	3.96E-19
11723871_a_at	-12.31316076	4.40E-19
11754337_s_at	-5.217315554	1.63E-18
11752982_x_at	-9.904940306	2.63E-18
11751342_a_at	-6.082480309	3.18E-18
11715493_a_at	-6.53563696	3.57E-18
11749905_a_at	-6.321354376	4.39E-18
11715441_a_at	-23.9743628	4.99E-18
11752269_a_at	6.37183684	6.87E-18
11751343_x_at	-5.772358614	1.14E-17
11718163_a_at	6.580096543	1.35E-17
11718347_a_at	12.09074706	1.52E-17
11748219_a_at	6.125148411	2.02E-17
11750279_a_at	-3.704242077	2.87E-17
11753431_x_at	-5.697411389	2.96E-17
11741369_a_at	6.34562633	3.45E-17
11715440_a_at	-18.58089205	3.72E-17
11724481_a_at	-5.65491224	4.26E-17
11715563_s_at	-3.873003847	5.44E-17
11721876_s_at	6.504168638	6.92E-17
11725905_a_at	4.922709347	8.28E-17
11716550_at	-4.258120597	8.70E-17
11757868_a_at	-3.547628802	1.01E-16
11716203_a_at	3.128465889	1.04E-16
11741506_x_at	-5.665635773	1.15E-16
11759525_at	-4.275028911	1.34E-16
11747457_x_at	5.675556505	1.74E-16
11753232_a_at	-6.726448538	2.16E-16
11724197_at	-3.969947829	2.32E-16
11728189_a_at	-3.421235974	2.35E-16
11715817_at	-3.262574603	2.65E-16
11721630_at	-3.044676178	2.69E-16
11726023_a_at	-3.294910455	3.40E-16
11722406_at	-3.631408535	3.56E-16
11724196_s_at	-3.739940786	3.59E-16
11731392_at	-4.362901906	4.39E-16
11728022_a_at	-8.278638561	4.75E-16
11723326_at	-11.14711713	4.92E-16
11757933_s_at	-2.64818422	4.93E-16
11754662_s_at	-3.513947535	5.42E-16
11718397_s_at	-3.117784377	6.45E-16
11721917_a_at	-3.060124569	7.93E-16
11722728_a_at	-17.47023339	8.30E-16
11756406_x_at	-4.67351315	8.95E-16
11717568_s_at	2.738777543	9.24E-16
11753514_s_at	-2.683906018	9.55E-16
11759142_at	-6.551680457	9.85E-16
11717721_s_at	-3.756409846	1.05E-15
11750770_a_at	3.471187443	1.05E-15
11723327_x_at	-9.702194484	1.07E-15
11752114_a_at	3.409409623	1.08E-15
11719818_at	2.614475489	1.16E-15
11745681_a_at	-3.044532656	1.20E-15
11716950_s_at	2.703868746	1.37E-15
11753233_x_at	-6.706264926	1.54E-15
11728191_x_at	-3.220819083	2.16E-15
11741504_a_at	-7.487808464	2.20E-15
11757565_s_at	2.661679472	2.63E-15
11716574_at	-2.683829623	2.74E-15
11715766_a_at	-2.85188442	2.76E-15
11722858_s_at	-3.031339839	2.79E-15
11732453_s_at	7.175854711	2.89E-15
11752577_at	2.729310402	3.05E-15
11724198_a_at	-3.597105508	3.15E-15
11754315_x_at	-2.788212828	3.28E-15
11756431_s_at	-2.41104038	4.18E-15
11720049_a_at	-2.596683652	4.44E-15
11757798_s_at	-3.301045054	5.72E-15
11741012_a_at	-2.58679531	5.84E-15
