gene	pval	qval	mu0	k	t0
1	Klf2	6.53980554314266e-12	5.5836859727352e-08	64.6897733324374	2.16511876921394	6.15454694221886
2	Wfdc18	4.21667347390293e-12	5.5836859727352e-08	25387.0854271304	3.67186200148569	8.35978088415874
3	Gm8818	3.38042597443618e-11	1.44310384848681e-07	284.280665806076	4.46490019517765	7.39047413538148
4	Cyp2f2	3.17931619255706e-11	1.44310384848681e-07	388.782897645515	5.05603964597419	7.29196774910097
5	Scn7a	6.33782969974342e-11	1.59670526203112e-07	582.728448893539	235.390589710956	7.01080141449879
6	Zc3hav1	6.5454069068973e-11	1.59670526203112e-07	34.0782807592419	0.907710870957534	6.34119182477837
7	H2-Q6	6.50038484670214e-11	1.59670526203112e-07	317.682233813418	70.6585126428811	6.0362535788232
8	Gpr56	1.99211374296852e-10	4.2521667843663e-07	145.575478839493	2.40824273362535	7.55475550427897
9	Inmt	2.55378610699111e-10	4.83474274873515e-07	19.4435772794637	33.2050466299867	4.10596330537356
10	Gpx3	3.11443957812641e-10	4.83474274873515e-07	303.027609219411	63.3642868233124	6.09359288598005
11	Gcm2	3.06189810061293e-10	4.83474274873515e-07	31.1663990221131	-2.98142593870404	1.6944510554157
12	Lyz2	4.3807747888156e-10	6.2338425244846e-07	29.8747829126062	292.17391943411	6.00783946797845
13	Lcn2	7.65694516915068e-10	8.26960279522259e-07	55.258429240102	146.219712494017	6.99885508471985
14	Reg3g	7.5770540946012e-10	8.26960279522259e-07	87.1275255287799	15.2756872130296	6.23193694914771
15	Gp2	7.74851515129781e-10	8.26960279522259e-07	79.5853486156113	4.27179167280626	7.1528726147879
16	Ly6a	7.0209821879406e-10	8.26960279522259e-07	623.263963211981	137.670361175879	6.85166929160592
17	Nr4a1	1.05310752375517e-09	1.05781553386137e-06	1691.48899576287	1.20078309782283	8.79065132973295
18	Ccl8	1.46419569448836e-09	1.38903364883796e-06	57.1971468430567	4.32407917628543	7.05972697873857
19	Ar	1.55908496090886e-09	1.40120709434103e-06	24.7775398308026	12.9662603928705	6.29079210037693
20	Pglyrp1	2.29394290627185e-09	1.95856845337491e-06	339.587624763499	2.2028626377818	8.21996029252247
21	Kif20b	2.43677448966676e-09	1.98144577074045e-06	20.0267230096656	-2.24534316041147	2.48540746421038
22	Srgn	2.72735319246891e-09	2.03562244462673e-06	116.833028171262	24.4154832924749	6.07786627482034
23	Ccl11	2.74181987739604e-09	2.03562244462673e-06	26.2952491556493	5.72505701883042	6.66758947537665
24	Serpinb2	3.1549797439608e-09	2.24476808782811e-06	55.3644736081987	10.0848211039429	7.02258718077336
25	Ly6d	3.36769606329534e-09	2.30027111907325e-06	1362.89418115843	1.93757705097745	8.58515759719542
26	Ibsp	3.6865857022111e-09	2.42123605580603e-06	22.3709235586077	-2.69613164496156	1.69618879032065
27	Fcgbp	3.82928036867626e-09	2.42180709538947e-06	73.7944431880495	113.525721385345	7.00648276766913
28	Il34	5.99527596320696e-09	3.53018387405938e-06	28.0199430292509	2.14603649262913	6.55886244318832
29	Gabrp	5.84609787950943e-09	3.53018387405938e-06	1020.56948401697	241.069694778554	7.01572515019999
30	Rhcg	8.68088242115985e-09	4.94115827412419e-06	113.643876787624	-1.46577723488364	-0.129817341526143
31	Htra1	1.09185148990129e-08	6.01434065856594e-06	38.6250748563118	144.537242114557	6.8848347081776
32	Msln	1.24456561525584e-08	6.64131326440898e-06	2695.24732891909	2.03872545270746	8.81659204156331
33	Cav1	2.07632165716978e-08	1.07398057656752e-05	39164.3744604191	20.6577269720918	7.28731366796379
34	Tns4	2.13840124170155e-08	1.07398057656752e-05	24.7122535550584	4.83418717303247	6.77546907710871
35	H2-Ob	2.31027517329307e-08	1.09584052386535e-05	14.8178410408558	2.63631631220257	5.92622613667117
36	Gm4951	2.24937988030004e-08	1.09584052386535e-05	31.3484007986905	1.49265069374418	5.03338900765004
37	Gm15883	2.87871661211607e-08	1.32856661806741e-05	3824.55908417444	337.190660138345	7.01429950004001
38	Rgs13	2.96799488216278e-08	1.32898358597866e-05	41.4099621791105	3.82472388688714	7.11079698184166
39	Il33	3.03527523150431e-08	1.32898358597866e-05	106.952343078983	7.14508434791681	6.67055911955228
40	Msn	3.2963207370248e-08	1.40719932263589e-05	9488.8705372122	1.14073215227396	11.2161393963847
41	Chga	3.39940681871014e-08	1.41581148381206e-05	12172.0559222181	-1.64809377262741	-2.34951182669453
42	Igfbp5	3.85698463644503e-08	1.56813975361751e-05	2981.28766138813	97.1890206812459	7.0420937322471
43	Slc9a4	4.81196349106486e-08	1.74260353549931e-05	106.230444837048	-2.16759530790742	0.148968089320454
44	4930558J18Rik	5.3156834698874e-08	1.74260353549931e-05	9.72581231135952	-2.93093976272955	3.12742652826633
45	Serping1	5.40542381778708e-08	1.74260353549931e-05	255.23758937232	1.11239505435793	9.43025222529226
46	Slc34a2	4.57174960627566e-08	1.74260353549931e-05	419.435823235956	132.400266532171	7.02392872042771
47	Tmprss11b	5.00975188575307e-08	1.74260353549931e-05	12.6771515155953	3.64581500418126	5.82784266705346
48	AU019823	4.46484358552051e-08	1.74260353549931e-05	76.1219029729302	-0.437668039115148	6.50584998387933
49	Plxdc1	5.24371867784696e-08	1.74260353549931e-05	102.664783234278	2.19914487325967	7.68750566399312
50	Mctp1	4.77938654109112e-08	1.74260353549931e-05	397.816389233274	163.256563000432	7.01609292230334
51	Scarf2	5.32712424914608e-08	1.74260353549931e-05	72.1805245188832	1.40390484043667	5.99790891508839
52	Klhl6	5.26517715097098e-08	1.74260353549931e-05	11.5561642255623	16.1899908248597	5.03788251865162
53	Gm14636	5.40864297150758e-08	1.74260353549931e-05	13.5512231899027	3.02913419922083	6.00281788617963
54	Dpp4	5.6161063198824e-08	1.77593762070948e-05	10.0271919500938	-3.12865676747594	3.01543313463046
55	Ptges	5.79284483832924e-08	1.79852033562382e-05	513.865464439967	3.68214121686813	7.72085956203639
56	Ppp1r12c	5.89838223482226e-08	1.79858526860402e-05	663.449187030982	0.342224319647661	17.5545672159005
57	Aldh3a1	6.24536555872194e-08	1.87098004001291e-05	14.9015661736972	10.3947663939178	6.06529975474927
58	Prg2	6.89679729109372e-08	1.9960967888596e-05	14.6861931776956	9.24587220802726	6.34949603786286
59	Igf2bp1	6.8408829313788e-08	1.9960967888596e-05	11.571041347439	-22.9250927307216	2.87014977633954
60	Dpp6	7.02856677932293e-08	2.0003301053953e-05	26.1876047773456	3.34456040232803	6.93640976841546
61	1700019G17Rik	7.25847168820589e-08	2.03189610734105e-05	14.5900701637976	-11.7711649124348	1.95110515473923
62	Abcd4	8.0900828267934e-08	2.22816539274716e-05	18.2078226633072	3.0234166986861	4.97759347826222
63	Cenpf	8.28014140784709e-08	2.24431261397456e-05	2272.13417034333	-0.738757630284012	-5.2088898875259
64	Fosb	1.12943216042586e-07	2.96710516483569e-05	4285.35148331298	1.12191828341986	10.7634563424633
65	Hist3h2ba	1.12339336002754e-07	2.96710516483569e-05	20.9231855707265	-3.02577876870901	2.41208012953397
66	Cybb	1.20493735118171e-07	3.11750154678467e-05	280.714363307297	68.0058779073725	7.04245448794058
67	Grtp1	1.25000780307599e-07	3.18584078288442e-05	8.63051984790176	-2.65168564479433	3.09030499669005
68	Rasl11b	1.40759186223062e-07	3.534711564625e-05	12.9348089840532	-2.49682519455437	1.83611501548106
69	Tmem45b	1.57210695880458e-07	3.89062296065899e-05	67.9444647300384	43.3753417502102	7.03050593251436
70	Tpm2	1.5971459336764e-07	3.89612342335116e-05	974.684384356004	1.66955761178192	8.68680042008551
71	Ambra1	1.65284432802936e-07	3.97520700639849e-05	166.471878011751	0.761218736816869	10.4582836606612
72	Chrd	1.87733887591788e-07	4.4524220340519e-05	10.0060625272387	4.047643583607	5.68867056835386
73	Pamr1	2.22140519705673e-07	5.19626234862202e-05	18.2346940175869	-2.830035683433	1.83216075635102
74	Pde3b	2.26134749588217e-07	5.21821214049784e-05	14.2053100741773	-16.7488531886281	1.818150103139
75	Sp140	2.55283415671984e-07	5.66132416365558e-05	10.6943163666796	3.50331821432247	4.52625404392109
76	Sema3d	2.53618700996429e-07	5.66132416365558e-05	21.5903142286394	-1.56286149923707	0.966219850302016
77	Col6a2	2.49368170302322e-07	5.66132416365558e-05	12.1445220014032	3.11416442546782	5.94101713642902
78	Fmod	2.70308800770091e-07	5.91768343839752e-05	153.680490988867	97.6239838232408	7.02416926210926
79	Stx11	2.85311995623431e-07	6.16707295856419e-05	109.060613384565	37.5810017707582	2.48414186548849
80	Rora	2.97165571905588e-07	6.34299913232477e-05	21.9490280722853	1.88836986990321	6.73615933760697
81	Gm15821	3.32839510126376e-07	7.01674996903457e-05	480.839780344456	0.480711136777009	12.2090969681116
82	Aif1l	3.3762988272643e-07	7.03093643589819e-05	39.3714411457103	-1.30486803776951	5.31184414849979
83	Gata3	3.61717540671203e-07	7.44179364397766e-05	12.9476307166326	-2.27588896194604	1.74295693159947
84	Casp1	3.85442782769485e-07	7.83550114115682e-05	18.7797587086359	1.38231884028388	5.38680732749067
85	2610318N02Rik	4.78822337261417e-07	9.61925909538348e-05	226.039824904582	-0.524191118710587	-3.38270293613406
86	Gm4952	5.02089288345776e-07	9.96939149743311e-05	13.5903179389575	15.9007841133051	6.8639697522766
87	Lsp1	5.29268748502224e-07	0.000100530627541253	9.22373814405394	48.2689157525556	5.55315948795166
88	Rab3d	5.21830676686548e-07	0.000100530627541253	1234.91396178069	0.467048153972485	12.032080874736
89	Zmynd15	5.25267665333543e-07	0.000100530627541253	22.1615657078676	1.30365398591374	4.83323715387373
90	Prr32	5.29852218242727e-07	0.000100530627541253	69.2439293755696	0.927760727033374	6.83058362253292
91	Scnn1a	5.93272674593688e-07	0.000111326639465514	326.060322869946	1.23436820914816	9.16364687128278
92	Egr2	6.68152407730371e-07	0.000124014896895694	42.6373044940563	42.3107059578816	5.04125276810913
93	Pcyox1l	6.87235580129339e-07	0.000126185320067619	11.7140466022462	-1.36073671631864	3.60379906242453
