Gene,pval,qval
Skint10,2.63E-54,4.50E-50
Reg3g,1.33E-51,1.14E-47
Calcb,1.61E-49,9.22E-46
Alox12e,1.47E-46,6.28E-43
Ubd,1.43E-45,4.92E-42
Srgn,6.25E-44,1.79E-40
Skint2,1.83E-43,4.48E-40
S100a8,2.38E-43,5.10E-40
Cd52,3.06E-42,5.83E-39
Dio1,1.91E-41,3.27E-38
Csn2,8.18E-41,1.27E-37
Ly6a,7.61E-39,1.09E-35
Iapp,6.37E-38,7.92E-35
Vmo1,6.47E-38,7.92E-35
Skint1,1.33E-37,1.52E-34
AW112010,1.70E-37,1.83E-34
Ang4,3.04E-37,3.06E-34
Cdx1,4.43E-37,4.22E-34
Ctss,1.61E-36,1.38E-33
Cadps,1.61E-36,1.38E-33
Prg2,2.81E-36,2.30E-33
Reg3b,7.73E-36,6.02E-33
Wfdc18,1.19E-35,8.85E-33
Rarres1,1.48E-35,1.06E-32
Tnfrsf11b,1.76E-35,1.21E-32
Serpinb2,1.12E-34,7.36E-32
Skint4,1.32E-34,8.40E-32
Cldn13,1.38E-34,8.42E-32
Gm29461,2.00E-34,1.18E-31
Hmga2,3.50E-33,2.00E-30
Msln,3.86E-33,2.13E-30
Lypd8,1.04E-32,5.43E-30
Tff3,1.05E-32,5.43E-30
Rac2,1.56E-32,7.85E-30
1600012P17Rik,1.73E-32,7.99E-30
Gp2,1.73E-32,7.99E-30
Gcnt1,1.69E-32,7.99E-30
Cdh17,2.33E-32,1.05E-29
H2-Eb2,2.89E-32,1.27E-29
H2-DMb2,3.16E-32,1.36E-29
Apoa1,3.85E-32,1.61E-29
H2-Q6,3.95E-32,1.61E-29
Ccl20,4.34E-32,1.73E-29
Htr7,5.61E-32,2.19E-29
Lyz2,7.88E-32,2.94E-29
Lyz1,7.78E-32,2.94E-29
Ly6g,1.15E-31,4.19E-29
S100a9,1.75E-31,6.24E-29
Ly6d,2.24E-31,7.83E-29
Slc6a20a,4.53E-31,1.55E-28
Spink3,6.56E-31,2.21E-28
Rgs5,7.54E-31,2.49E-28
Chil4,8.20E-31,2.65E-28
Il4i1,1.11E-30,3.51E-28
Wfdc21,1.41E-30,4.40E-28
Ifi27l2a,1.50E-30,4.60E-28
Laptm5,1.68E-30,5.04E-28
Bcl2a1d,2.14E-30,6.31E-28
Nts,2.40E-30,6.98E-28
Slc2a6,2.91E-30,8.32E-28
Saa3,3.09E-30,8.70E-28
Wfdc17,3.18E-30,8.78E-28
Fgf21,3.32E-30,9.03E-28
Pmaip1,4.68E-30,1.25E-27
Dpp10,1.45E-29,3.81E-27
Gm14275,1.62E-29,4.22E-27
Fabp4,2.49E-29,6.38E-27
Kynu,2.60E-29,6.56E-27
Igkc,2.68E-29,6.65E-27
Serpina7,3.98E-29,9.76E-27
Prss29,4.05E-29,9.77E-27
Saa1,4.63E-29,1.10E-26
Ly6c1,5.00E-29,1.17E-26
Pglyrp1,5.12E-29,1.19E-26
Tspan1,6.93E-29,1.58E-26
Cyp2a5,7.76E-29,1.75E-26
Ccl2,8.35E-29,1.86E-26
Cxcl11,9.33E-29,2.05E-26
Gatm,1.06E-28,2.27E-26
Skint9,1.06E-28,2.27E-26
Marc1,1.25E-28,2.65E-26
Fabp6,1.31E-28,2.74E-26
Tnfrsf9,3.16E-28,6.52E-26
Aoc1,3.93E-28,8.03E-26
Myog,4.13E-28,8.33E-26
Ucma,4.78E-28,9.53E-26
Cxcl13,6.05E-28,1.18E-25
Klk7,6.07E-28,1.18E-25
Hdc,6.73E-28,1.30E-25
Ccl9,7.76E-28,1.48E-25
Cxcl10,8.09E-28,1.52E-25
